TransactionID,Time,Date,Drinker,License,Bar
51,4:56:33,10/16/2017,Kasper Wade,417478-9703,TACO BAR
52,3:48:53,12/14/2016,Lael Coffey,417478-9703,TACO BAR
53,4:30:36,9/11/2017,Kevin Cherry,417478-9703,TACO BAR
54,16:03:08,9/13/2017,Omar Dale,417478-9703,TACO BAR
55,3:11:20,6/22/2015,Cynthia Cochran,417478-9703,TACO BAR
56,11:07:45,10/15/2018,Raya Glover,417478-9703,TACO BAR
57,19:36:45,5/1/2017,Garth Lamb,417478-9703,TACO BAR
58,3:59:35,1/6/2016,Gillian Cox,417478-9703,TACO BAR
59,13:02:02,7/4/2016,Uriel Wynn,417478-9703,TACO BAR
60,7:48:30,12/8/2017,Quincy Aguirre,417478-9703,TACO BAR
61,8:18:33,12/4/2015,Alisa Acevedo,417478-9703,TACO BAR
62,14:10:39,6/29/2015,Merritt Benson,417478-9703,TACO BAR
63,6:08:50,8/8/2016,Fuller Tyler,417478-9703,TACO BAR
64,11:33:34,1/4/2016,Erasmus Short,417478-9703,TACO BAR
65,17:22:03,4/17/2017,Erasmus Short,417478-9703,TACO BAR
66,5:43:57,3/11/2016,Jada Wilkins,417478-9703,TACO BAR
67,6:09:47,3/10/2016,Uriel Wynn,417478-9703,TACO BAR
68,3:46:38,1/18/2016,Ariana Larson,417478-9703,TACO BAR
69,15:31:36,6/9/2016,Zeus Orr,417478-9703,TACO BAR
70,16:16:37,7/25/2016,Uriel Wynn,417478-9703,TACO BAR
71,4:31:55,12/14/2016,Gemma Espinoza,417478-9703,TACO BAR
72,8:35:52,9/29/2015,Gillian Cox,417478-9703,TACO BAR
73,18:11:19,3/29/2018,Clementine Barry,417478-9703,TACO BAR
74,3:36:41,10/9/2017,Whitney Manning,417478-9703,TACO BAR
75,15:59:37,8/20/2018,Josiah Gutierrez,417478-9703,TACO BAR
76,17:43:59,11/30/2018,Whitney Hale,417478-9703,TACO BAR
77,18:42:51,10/13/2017,Daniel King,417478-9703,TACO BAR
78,13:44:42,8/23/2016,Uta Cooley,417478-9703,TACO BAR
79,17:53:51,3/5/2018,Ariana Larson,417478-9703,TACO BAR
80,14:45:50,12/7/2017,Lael Coffey,417478-9703,TACO BAR
81,11:48:13,7/19/2016,Andrew Bridges,417478-9703,TACO BAR
82,13:34:04,2/6/2017,Whitney Manning,417478-9703,TACO BAR
83,14:59:57,6/30/2015,Chanda Bolton,417478-9703,TACO BAR
84,17:27:27,12/26/2018,Cullen Brooks,417478-9703,TACO BAR
85,5:20:18,8/26/2015,Jamal Benson,417478-9703,TACO BAR
86,18:57:16,2/1/2017,Gemma Espinoza,417478-9703,TACO BAR
87,15:05:09,4/2/2018,Gemma Espinoza,417478-9703,TACO BAR
88,6:48:44,10/15/2015,Carson Lester,417478-9703,TACO BAR
89,4:59:24,12/5/2017,Fuller Tyler,417478-9703,TACO BAR
90,7:22:01,7/11/2018,Whitney Hale,417478-9703,TACO BAR
91,4:36:08,9/18/2017,Rylee George,417478-9703,TACO BAR
92,5:27:31,9/8/2017,Uriel Wynn,417478-9703,TACO BAR
93,15:20:28,8/21/2015,Clementine Barry,417478-9703,TACO BAR
94,10:12:11,6/17/2015,Lucy Walter,417478-9703,TACO BAR
95,11:48:57,8/13/2018,Yardley Slater,122581-2526,ASPEN HILL BAR & GRILL
96,4:20:25,10/10/2017,Ethan Mcmillan,122581-2526,ASPEN HILL BAR & GRILL
97,17:32:43,3/13/2015,Paul Lee,122581-2526,ASPEN HILL BAR & GRILL
98,21:12:45,4/30/2018,Lyle Schmidt,122581-2526,ASPEN HILL BAR & GRILL
99,6:27:37,9/15/2016,Channing Barber,122581-2526,ASPEN HILL BAR & GRILL
100,6:44:23,2/26/2016,Pearl Hahn,122581-2526,ASPEN HILL BAR & GRILL
101,15:13:31,8/9/2017,Anthony Baldwin,122581-2526,ASPEN HILL BAR & GRILL
102,8:48:27,2/13/2017,Maggie Washington,122581-2526,ASPEN HILL BAR & GRILL
103,18:21:45,8/24/2018,Patrick Lowery,122581-2526,ASPEN HILL BAR & GRILL
104,14:42:27,6/23/2017,Keelie Barron,122581-2526,ASPEN HILL BAR & GRILL
105,2:03:56,8/28/2017,Brent Flynn,122581-2526,ASPEN HILL BAR & GRILL
106,20:44:36,1/6/2017,Philip Carver,122581-2526,ASPEN HILL BAR & GRILL
107,7:02:45,7/6/2017,Ashely Sanchez,122581-2526,ASPEN HILL BAR & GRILL
108,11:06:20,7/22/2015,Ori Strong,122581-2526,ASPEN HILL BAR & GRILL
109,19:00:39,11/3/2016,Yeo Collier,122581-2526,ASPEN HILL BAR & GRILL
110,19:15:06,9/4/2015,Allen Mathis,122581-2526,ASPEN HILL BAR & GRILL
111,19:51:23,10/4/2016,Xanthus Velasquez,122581-2526,ASPEN HILL BAR & GRILL
112,12:35:58,6/5/2015,Ruth Wood,122581-2526,ASPEN HILL BAR & GRILL
113,16:00:18,10/11/2017,Michael Wilkerson,122581-2526,ASPEN HILL BAR & GRILL
114,19:09:15,7/22/2015,Leilani Gonzalez,122581-2526,ASPEN HILL BAR & GRILL
115,8:52:28,12/10/2018,Anthony Baldwin,122581-2526,ASPEN HILL BAR & GRILL
116,11:46:45,5/10/2018,Channing Buck,122581-2526,ASPEN HILL BAR & GRILL
117,2:37:38,6/5/2017,Marah Shaffer,122581-2526,ASPEN HILL BAR & GRILL
118,12:27:27,12/10/2015,Leo Moran,122581-2526,ASPEN HILL BAR & GRILL
119,20:00:27,8/7/2015,Anthony Baldwin,122581-2526,ASPEN HILL BAR & GRILL
120,10:10:05,7/25/2017,Ruth Wood,122581-2526,ASPEN HILL BAR & GRILL
121,15:20:57,2/24/2017,Maris Porter,122581-2526,ASPEN HILL BAR & GRILL
122,14:09:32,6/10/2015,Quinlan Craft,122581-2526,ASPEN HILL BAR & GRILL
123,8:23:51,5/25/2018,Alfreda Ashley,122581-2526,ASPEN HILL BAR & GRILL
124,18:31:05,7/4/2017,Tucker Hood,122581-2526,ASPEN HILL BAR & GRILL
125,11:36:13,12/21/2018,Quinn Stark,122581-2526,ASPEN HILL BAR & GRILL
126,8:15:04,1/8/2018,Peter Gillespie,122581-2526,ASPEN HILL BAR & GRILL
127,19:47:38,7/22/2015,Lyle Schmidt,122581-2526,ASPEN HILL BAR & GRILL
128,3:04:37,12/7/2017,Dexter Jefferson,122581-2526,ASPEN HILL BAR & GRILL
129,4:50:12,8/17/2015,Isabella Nixon,122581-2526,ASPEN HILL BAR & GRILL
130,7:05:28,3/10/2017,Alfonso Mercado,122581-2526,ASPEN HILL BAR & GRILL
131,19:43:43,7/24/2017,Kuame Dunlap,122581-2526,ASPEN HILL BAR & GRILL
132,8:39:57,8/29/2018,Erin Ferguson,122581-2526,ASPEN HILL BAR & GRILL
133,5:09:35,2/9/2016,George Morales,122581-2526,ASPEN HILL BAR & GRILL
134,9:07:13,11/29/2017,Michael Wilkerson,122581-2526,ASPEN HILL BAR & GRILL
135,7:37:31,8/17/2016,Allen Mathis,122581-2526,ASPEN HILL BAR & GRILL
136,17:20:28,8/24/2018,Anthony Baldwin,122581-2526,ASPEN HILL BAR & GRILL
137,9:35:43,6/15/2018,Alfreda Ashley,122581-2526,ASPEN HILL BAR & GRILL
138,7:58:17,12/28/2017,Leilani Gonzalez,122581-2526,ASPEN HILL BAR & GRILL
139,11:15:38,9/19/2016,Channing Buck,122581-2526,ASPEN HILL BAR & GRILL
140,2:39:01,10/26/2018,Yardley Slater,122581-2526,ASPEN HILL BAR & GRILL
141,7:28:25,6/7/2016,Lyle Schmidt,122581-2526,ASPEN HILL BAR & GRILL
142,14:47:50,9/8/2016,Kasper Carr,122581-2526,ASPEN HILL BAR & GRILL
143,8:14:54,10/16/2018,Bevis Hunter,122581-2526,ASPEN HILL BAR & GRILL
144,20:15:24,12/5/2016,Ronan Davenport,122581-2526,ASPEN HILL BAR & GRILL
145,3:45:11,3/1/2018,Davis Barlow,122581-2526,ASPEN HILL BAR & GRILL
146,21:44:40,3/20/2018,Elton Moody,122581-2526,ASPEN HILL BAR & GRILL
147,16:24:52,10/11/2016,Yasir Best,122581-2526,ASPEN HILL BAR & GRILL
148,11:30:52,10/27/2015,Michael Wilkerson,122581-2526,ASPEN HILL BAR & GRILL
149,6:26:20,10/24/2016,Pearl Hahn,122581-2526,ASPEN HILL BAR & GRILL
150,6:32:29,10/21/2016,Maggie Washington,122581-2526,ASPEN HILL BAR & GRILL
151,19:41:56,11/10/2016,Wayne Pena,122581-2526,ASPEN HILL BAR & GRILL
152,18:38:49,6/19/2018,Reuben Dyer,122581-2526,ASPEN HILL BAR & GRILL
153,3:22:38,3/21/2016,Charity Jarvis,122581-2526,ASPEN HILL BAR & GRILL
154,4:31:16,6/15/2017,Davis Barlow,122581-2526,ASPEN HILL BAR & GRILL
155,12:09:16,1/4/2016,Paul Lee,122581-2526,ASPEN HILL BAR & GRILL
156,17:56:50,4/10/2015,Ryan Harmon,122581-2526,ASPEN HILL BAR & GRILL
157,14:05:35,1/12/2018,Trevor Fisher,122581-2526,ASPEN HILL BAR & GRILL
158,14:23:40,12/28/2015,Jana Roman,122581-2526,ASPEN HILL BAR & GRILL
159,19:40:05,5/29/2017,Keelie Barron,122581-2526,ASPEN HILL BAR & GRILL
160,18:28:39,3/9/2016,George Morales,122581-2526,ASPEN HILL BAR & GRILL
161,21:51:14,5/7/2018,Kyra Scott,122581-2526,ASPEN HILL BAR & GRILL
162,19:32:57,12/19/2018,Yasir Best,122581-2526,ASPEN HILL BAR & GRILL
163,19:14:35,5/30/2016,Quinlan Craft,122581-2526,ASPEN HILL BAR & GRILL
164,9:31:40,12/18/2018,Marny Hampton,122581-2526,ASPEN HILL BAR & GRILL
165,21:11:52,9/4/2017,Marah Shaffer,122581-2526,ASPEN HILL BAR & GRILL
166,16:50:37,12/18/2018,Reuben Dyer,122581-2526,ASPEN HILL BAR & GRILL
167,16:23:46,3/21/2017,Bevis Hunter,122581-2526,ASPEN HILL BAR & GRILL
168,9:11:07,10/26/2015,Lucian Abbott,122581-2526,ASPEN HILL BAR & GRILL
169,7:01:48,5/13/2016,Leilani Gonzalez,122581-2526,ASPEN HILL BAR & GRILL
170,6:36:52,3/2/2017,Marah Shaffer,122581-2526,ASPEN HILL BAR & GRILL
171,14:21:41,3/9/2018,Jana Roman,122581-2526,ASPEN HILL BAR & GRILL
172,6:27:49,11/18/2016,Ori Strong,122581-2526,ASPEN HILL BAR & GRILL
173,3:33:45,11/8/2017,Joy Crane,122581-2526,ASPEN HILL BAR & GRILL
174,19:18:34,8/28/2015,Kyra Scott,122581-2526,ASPEN HILL BAR & GRILL
175,5:31:21,3/22/2017,Lionel Cain,122581-2526,ASPEN HILL BAR & GRILL
176,3:52:12,12/6/2016,Trevor Fisher,122581-2526,ASPEN HILL BAR & GRILL
177,21:29:33,12/13/2018,Nigel Donovan,122581-2526,ASPEN HILL BAR & GRILL
178,2:59:44,10/26/2018,Nolan Meyers,122581-2526,ASPEN HILL BAR & GRILL
179,20:00:47,7/26/2018,Tucker Hood,122581-2526,ASPEN HILL BAR & GRILL
180,20:30:02,6/12/2017,Gloria Bright,122581-2526,ASPEN HILL BAR & GRILL
181,10:18:42,4/23/2018,Felicia Merrill,122581-2526,ASPEN HILL BAR & GRILL
182,5:50:21,3/21/2018,Ryan Harmon,122581-2526,ASPEN HILL BAR & GRILL
183,15:44:16,7/4/2018,Charity Jarvis,122581-2526,ASPEN HILL BAR & GRILL
184,1:20:36,10/2/2018,Sierra Pollard,698268-4422,Il Fornaio
185,1:46:23,7/9/2018,Kermit Obrien,698268-4422,Il Fornaio
186,3:44:50,10/19/2018,Zia Montoya,698268-4422,Il Fornaio
187,5:28:44,5/17/2016,Erich Meadows,698268-4422,Il Fornaio
188,3:57:57,4/21/2015,Remedios Cunningham,698268-4422,Il Fornaio
189,2:15:50,10/6/2017,Quamar Tyson,698268-4422,Il Fornaio
190,7:51:01,2/20/2015,Clinton Coleman,698268-4422,Il Fornaio
191,15:43:47,9/21/2018,Katelyn Ochoa,698268-4422,Il Fornaio
192,11:17:43,1/22/2015,Herman Mcfadden,698268-4422,Il Fornaio
193,1:07:32,5/22/2015,Sierra Pollard,698268-4422,Il Fornaio
194,7:41:21,5/10/2016,Hammett Bradley,698268-4422,Il Fornaio
195,17:03:31,1/21/2015,Hammett Bradley,698268-4422,Il Fornaio
196,2:49:33,5/1/2018,Remedios Cunningham,698268-4422,Il Fornaio
197,18:32:22,9/11/2015,Tatum Fry,698268-4422,Il Fornaio
198,13:36:53,5/31/2016,Louis Carson,698268-4422,Il Fornaio
199,17:41:07,1/7/2015,Adam Roach,698268-4422,Il Fornaio
200,11:31:25,10/18/2018,Louis Snyder,698268-4422,Il Fornaio
201,8:18:37,5/18/2017,Zenaida Alford,698268-4422,Il Fornaio
202,6:30:18,4/14/2016,Bianca Diaz,698268-4422,Il Fornaio
203,1:38:15,7/7/2016,Elliott Alexander,698268-4422,Il Fornaio
204,9:28:43,7/5/2016,Zenaida Alford,698268-4422,Il Fornaio
205,17:01:15,7/16/2018,Katelyn Ochoa,698268-4422,Il Fornaio
206,5:08:45,3/9/2015,Madison Langley,698268-4422,Il Fornaio
207,12:13:00,12/20/2016,Leandra Potter,698268-4422,Il Fornaio
208,18:19:28,2/24/2016,Illiana Taylor,698268-4422,Il Fornaio
209,9:29:20,2/19/2015,Adam Roach,698268-4422,Il Fornaio
210,14:00:16,4/25/2018,Herman Mcfadden,698268-4422,Il Fornaio
211,12:43:00,11/2/2017,Libby Mccarty,698268-4422,Il Fornaio
212,8:21:58,5/25/2018,Illiana Taylor,698268-4422,Il Fornaio
213,5:19:51,8/22/2016,Mollie Wallace,698268-4422,Il Fornaio
214,6:10:04,8/10/2016,Tamekah Johns,698268-4422,Il Fornaio
215,6:22:59,11/8/2018,Adam Roach,698268-4422,Il Fornaio
216,3:04:01,7/27/2018,Quamar Tyson,698268-4422,Il Fornaio
217,6:37:44,5/8/2017,Remedios Cunningham,698268-4422,Il Fornaio
218,18:46:00,12/6/2017,Myles Scott,698268-4422,Il Fornaio
219,3:55:56,1/1/2018,Channing Hoffman,698268-4422,Il Fornaio
220,16:09:40,6/9/2016,Xaviera Carney,698268-4422,Il Fornaio
221,12:54:20,5/18/2018,Brandon Christian,698268-4422,Il Fornaio
222,5:16:51,2/23/2016,Lucian Gallegos,698268-4422,Il Fornaio
223,8:17:06,1/1/2015,Hammett Bradley,698268-4422,Il Fornaio
224,15:47:20,3/16/2018,Desirae Witt,698268-4422,Il Fornaio
225,14:54:39,11/30/2017,Leandra Potter,698268-4422,Il Fornaio
226,3:42:04,8/19/2015,Libby Mccarty,698268-4422,Il Fornaio
227,12:17:20,1/16/2015,Teegan Fisher,698268-4422,Il Fornaio
228,2:45:46,5/11/2018,Tallulah Brewer,698268-4422,Il Fornaio
229,8:14:19,11/27/2017,Channing Hoffman,698268-4422,Il Fornaio
230,4:40:58,5/31/2017,Tatum Fry,698268-4422,Il Fornaio
231,15:41:28,9/18/2017,Fitzgerald Riley,698268-4422,Il Fornaio
232,10:33:04,10/12/2017,Madison Langley,698268-4422,Il Fornaio
233,6:37:32,9/5/2017,Lucian Gallegos,698268-4422,Il Fornaio
234,14:49:47,1/2/2018,Xaviera Carney,698268-4422,Il Fornaio
235,9:13:21,5/29/2015,Elliott Alexander,698268-4422,Il Fornaio
236,9:16:19,6/11/2018,Zenaida Alford,698268-4422,Il Fornaio
237,13:17:15,6/1/2015,Tatum Fry,698268-4422,Il Fornaio
238,5:29:05,5/22/2015,Abdul Stokes,698268-4422,Il Fornaio
239,4:35:07,9/4/2015,Yeo Franklin,698268-4422,Il Fornaio
240,9:53:22,7/10/2015,Alan Hardy,698268-4422,Il Fornaio
241,9:15:56,12/1/2015,Zenaida Alford,698268-4422,Il Fornaio
242,8:39:04,10/12/2015,Xaviera Carney,698268-4422,Il Fornaio
243,6:02:13,7/7/2016,Amery Gibson,698268-4422,Il Fornaio
244,1:38:41,8/24/2017,Sierra Pollard,698268-4422,Il Fornaio
245,5:45:14,11/9/2017,Sylvester Lindsey,698268-4422,Il Fornaio
246,2:00:19,3/16/2017,Alea Yang,698268-4422,Il Fornaio
247,9:08:09,9/21/2017,Amanda Wallace,698268-4422,Il Fornaio
248,1:21:09,6/16/2015,Yardley Henry,698268-4422,Il Fornaio
249,7:01:13,2/7/2017,Mallory Hughes,698268-4422,Il Fornaio
250,17:42:55,12/24/2015,Amery Gibson,698268-4422,Il Fornaio
251,5:05:03,2/17/2015,Tamekah Johns,698268-4422,Il Fornaio
252,15:23:16,8/4/2015,Darryl Morse,698268-4422,Il Fornaio
253,6:43:47,9/11/2017,Yardley Henry,698268-4422,Il Fornaio
254,9:44:27,5/25/2017,Faith Reyes,698268-4422,Il Fornaio
255,18:06:19,8/9/2016,Serena Alford,698268-4422,Il Fornaio
256,17:04:21,10/9/2017,Brandon Christian,698268-4422,Il Fornaio
257,10:42:06,11/10/2015,Tamekah Johns,698268-4422,Il Fornaio
258,13:08:00,4/17/2015,Leandra Potter,698268-4422,Il Fornaio
259,15:02:36,10/16/2017,Channing Hoffman,698268-4422,Il Fornaio
260,2:40:18,3/21/2017,Vance Avila,698268-4422,Il Fornaio
261,11:15:38,1/22/2015,Illiana Taylor,698268-4422,Il Fornaio
262,8:58:17,5/22/2018,Mallory Hughes,698268-4422,Il Fornaio
263,14:09:13,9/13/2016,Baker Mayer,698268-4422,Il Fornaio
264,4:33:33,7/6/2015,Fitzgerald Riley,698268-4422,Il Fornaio
265,18:21:25,8/18/2016,Erich Meadows,698268-4422,Il Fornaio
266,18:37:11,7/8/2016,Tamekah Johns,698268-4422,Il Fornaio
267,10:59:32,3/28/2018,Daniel Christensen,802054-2166,Blue Angel
268,8:48:04,6/22/2017,Lewis Solomon,802054-2166,Blue Angel
269,6:25:22,10/6/2015,Donna Merritt,802054-2166,Blue Angel
270,10:48:41,12/13/2018,Michael Delacruz,802054-2166,Blue Angel
271,11:23:55,10/11/2016,Lavinia Best,802054-2166,Blue Angel
272,11:14:10,7/6/2018,Nichole Ochoa,802054-2166,Blue Angel
273,16:02:06,1/19/2017,Larissa Simon,802054-2166,Blue Angel
274,14:34:45,12/25/2015,Geraldine Jacobs,802054-2166,Blue Angel
275,11:36:18,9/11/2018,Geraldine Jacobs,802054-2166,Blue Angel
276,10:45:11,8/29/2016,Kareem Black,802054-2166,Blue Angel
277,10:29:24,7/11/2016,Ginger Owen,802054-2166,Blue Angel
278,5:54:05,9/28/2017,Sharon Carpenter,802054-2166,Blue Angel
279,11:15:20,2/18/2016,Justine Mcguire,802054-2166,Blue Angel
280,10:09:28,1/21/2015,Bryar Davidson,802054-2166,Blue Angel
281,11:06:24,11/8/2016,Pamela Woodward,802054-2166,Blue Angel
282,12:59:34,4/7/2015,Gretchen Nixon,802054-2166,Blue Angel
283,7:45:38,11/29/2017,Rebecca Mclean,802054-2166,Blue Angel
284,6:12:37,1/22/2018,Phillip Chaney,802054-2166,Blue Angel
285,6:26:38,8/17/2015,Sarah Figueroa,802054-2166,Blue Angel
286,8:47:23,7/25/2016,Callum Lester,802054-2166,Blue Angel
287,5:34:18,11/14/2016,Valentine Rocha,802054-2166,Blue Angel
288,9:44:03,4/1/2015,Tucker Simon,802054-2166,Blue Angel
289,5:32:35,4/15/2015,Dahlia Hewitt,802054-2166,Blue Angel
290,16:06:35,9/16/2015,Ursa Rowe,802054-2166,Blue Angel
291,10:29:51,5/1/2015,Cullen English,802054-2166,Blue Angel
292,9:36:08,4/3/2015,Kibo Gregory,802054-2166,Blue Angel
293,10:32:32,6/20/2017,Isabella Conner,802054-2166,Blue Angel
294,13:55:56,7/22/2016,Winifred Mccall,802054-2166,Blue Angel
295,15:57:00,12/28/2017,Erin Gallegos,802054-2166,Blue Angel
296,5:51:28,2/16/2018,Kyla Gonzales,802054-2166,Blue Angel
297,15:21:18,4/24/2015,Charde Holman,802054-2166,Blue Angel
298,8:46:48,2/8/2018,Timon Compton,802054-2166,Blue Angel
299,11:49:33,7/20/2015,Ginger Owen,802054-2166,Blue Angel
300,13:52:34,7/18/2017,Roth Barnett,802054-2166,Blue Angel
301,16:05:58,3/9/2017,Leilani Watkins,802054-2166,Blue Angel
302,7:53:09,4/28/2017,Lavinia Best,802054-2166,Blue Angel
303,16:04:13,12/29/2017,Ursula Mcpherson,802054-2166,Blue Angel
304,16:33:36,4/21/2016,Tucker Simon,802054-2166,Blue Angel
305,12:09:32,7/1/2015,Lewis Solomon,802054-2166,Blue Angel
306,7:35:58,5/21/2015,Xavier Price,802054-2166,Blue Angel
307,8:48:25,12/29/2017,Yeo Schroeder,802054-2166,Blue Angel
308,9:37:05,1/2/2015,Yeo Schroeder,802054-2166,Blue Angel
309,13:35:49,2/17/2016,Colorado Cooley,802054-2166,Blue Angel
310,14:13:00,3/10/2015,Justine Mcguire,802054-2166,Blue Angel
311,5:57:04,4/10/2018,Wang James,802054-2166,Blue Angel
312,9:24:47,2/2/2015,Lavinia Best,802054-2166,Blue Angel
313,7:57:17,3/30/2018,Sharon Carpenter,802054-2166,Blue Angel
314,13:03:53,12/12/2016,Kelsey Miller,802054-2166,Blue Angel
315,13:24:49,1/5/2018,Harriet Wheeler,802054-2166,Blue Angel
316,8:25:11,5/11/2016,Abigail Watkins,802054-2166,Blue Angel
317,5:48:04,6/14/2016,Bryar Davidson,802054-2166,Blue Angel
318,15:10:59,9/19/2018,Gretchen Nixon,802054-2166,Blue Angel
319,12:38:43,10/3/2016,Logan Serrano,802054-2166,Blue Angel
320,14:13:50,10/30/2015,Suki Watkins,802054-2166,Blue Angel
321,7:37:23,2/14/2017,Amery Sawyer,802054-2166,Blue Angel
322,15:53:25,1/22/2018,Harriet Wheeler,802054-2166,Blue Angel
323,12:29:55,12/31/2015,Harriet Wheeler,802054-2166,Blue Angel
324,6:42:50,12/5/2016,Yeo Schroeder,802054-2166,Blue Angel
325,5:33:43,10/11/2017,Daniel Christensen,802054-2166,Blue Angel
326,11:11:12,4/28/2015,Gretchen Nixon,802054-2166,Blue Angel
327,14:44:30,3/15/2017,Germane Slater,802054-2166,Blue Angel
328,11:22:10,4/5/2016,Xavier Price,802054-2166,Blue Angel
329,11:49:24,12/13/2017,Valentine Rocha,802054-2166,Blue Angel
330,6:47:16,12/23/2016,Ursula Mcpherson,802054-2166,Blue Angel
331,7:55:24,3/30/2016,Jaquelyn Arnold,802054-2166,Blue Angel
332,11:01:58,11/10/2017,Lavinia Best,802054-2166,Blue Angel
333,10:04:28,11/30/2018,Geraldine Jacobs,802054-2166,Blue Angel
334,16:44:46,6/8/2017,Gretchen Nixon,802054-2166,Blue Angel
335,5:39:06,7/15/2016,Mariam Holland,802054-2166,Blue Angel
336,16:59:26,4/16/2015,Miranda Anthony,802054-2166,Blue Angel
337,7:44:10,3/7/2018,Fritz Cardenas,802054-2166,Blue Angel
338,12:25:44,5/16/2017,Ifeoma Kinney,802054-2166,Blue Angel
339,9:40:02,2/20/2018,Brandon Schroeder,802054-2166,Blue Angel
340,11:44:17,10/9/2015,Lewis Solomon,802054-2166,Blue Angel
341,13:48:32,8/23/2016,Sarah Figueroa,802054-2166,Blue Angel
342,16:34:17,3/6/2017,Dai Bean,802054-2166,Blue Angel
343,5:32:27,4/19/2018,Callum Lester,802054-2166,Blue Angel
344,11:15:47,1/29/2018,Katell Dunlap,802054-2166,Blue Angel
345,15:54:04,2/10/2015,Harriet Wheeler,802054-2166,Blue Angel
346,10:34:34,10/25/2016,Rahim Mason,802054-2166,Blue Angel
347,10:44:10,5/7/2018,Gretchen Nixon,802054-2166,Blue Angel
348,7:31:23,10/21/2016,Larissa Simon,802054-2166,Blue Angel
349,12:55:16,1/11/2017,Katell Dunlap,802054-2166,Blue Angel
350,5:51:03,8/3/2017,Isabella Lara,802054-2166,Blue Angel
351,15:09:42,7/26/2017,Jaquelyn Arnold,802054-2166,Blue Angel
352,10:35:19,3/23/2015,Rahim Mason,802054-2166,Blue Angel
353,9:28:52,7/10/2017,Ginger Owen,802054-2166,Blue Angel
354,15:50:55,12/12/2018,Lavinia Best,802054-2166,Blue Angel
