Name,Bar,License,DrinkerState,BarState
"Yoshi Banks","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Drake Heath","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Isabella Mcbride","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Logan Hanson","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Carly Smith","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Kadeem Frazier","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Elliott Molina","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Boris Stevenson","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Dennis Nixon","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Amaya Mcdaniel","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Akeem Cabrera","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Ciara Ramos","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Ezekiel Rodgers","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Carol Rodriquez","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Iris Sheppard","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Hilel Rivers","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Skyler Diaz","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Kameko Hicks","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Curran Alford","GOLF ULTRA LOUNGE",008054-3713,Colorado,Colorado
"Lani Patel","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Nehru Williams","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Ori Mcknight","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Samson Hunter","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Sybil Holloway","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Heidi Payne","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Chava Williamson","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Gray Cervantes","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Fletcher Garza","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Gary Bryan","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Hashim Duffy","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Dennis Powers","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Chaim Gardner","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Audrey Munoz","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Palmer Owens","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Gavin Baker","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Yeo Mays","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Ralph Grant","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Dale Weeks","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Blaine Stevens","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Teegan James","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Keely Sawyer","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Madonna Lloyd","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Kalia Leblanc","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Sybil Romero","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Quentin Valenzuela","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Blair Rowland","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Unity Conley","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Charde Mcconnell","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Price Osborn","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Hedy Carlson","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Fiona Herman","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Emerald Pittman","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Yoshio Bowen","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Aladdin Wooten","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Ivan Livingston","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Jenette Pearson","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Luke Love","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Lee Kline","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Quail Manning","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Tanya Salas","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Damian Manning","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Neville White","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Michael Foreman","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Brendan Stuart","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Charlotte Barr","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Victoria Dickson","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Mona Owen","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Liberty Bolton","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Eagan Figueroa","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Moses Coleman","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Gary Adkins","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Bradley Rosales","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Josiah Wise","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Cameran Huffman","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Tucker Harris","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Regina Moore","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Timothy West","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Alexa Graves","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Dexter Thornton","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Elliott Sutton","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Jasmine Marshall","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Warren Sargent","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Blossom Hancock","FOREST GLEN PUB",724454-6920,Oregon,Oregon
"Zane Hurst",BECLAWS,269500-5799,Minnesota,Minnesota
"Kibo Merritt",BECLAWS,269500-5799,Minnesota,Minnesota
"Craig Love",BECLAWS,269500-5799,Minnesota,Minnesota
"Dean Kim",BECLAWS,269500-5799,Minnesota,Minnesota
"Malcolm Rodriguez",BECLAWS,269500-5799,Minnesota,Minnesota
"Lewis Combs",BECLAWS,269500-5799,Minnesota,Minnesota
"Dai Brown",BECLAWS,269500-5799,Minnesota,Minnesota
"John Vinson",BECLAWS,269500-5799,Minnesota,Minnesota
"Sage Snider",BECLAWS,269500-5799,Minnesota,Minnesota
"Louis Juarez",BECLAWS,269500-5799,Minnesota,Minnesota
"Reece Shaw",BECLAWS,269500-5799,Minnesota,Minnesota
"Elliott Rivers",BECLAWS,269500-5799,Minnesota,Minnesota
"Alexa Stein",BECLAWS,269500-5799,Minnesota,Minnesota
"Shelly Aguilar",BECLAWS,269500-5799,Minnesota,Minnesota
"Rhona Mccall",BECLAWS,269500-5799,Minnesota,Minnesota
"Raymond Brown",BECLAWS,269500-5799,Minnesota,Minnesota
"Plato Pena",BECLAWS,269500-5799,Minnesota,Minnesota
"Elijah Kennedy",BECLAWS,269500-5799,Minnesota,Minnesota
"Morgan Lopez",BECLAWS,269500-5799,Minnesota,Minnesota
"Honorato Hurst",BECLAWS,269500-5799,Minnesota,Minnesota
"Mara Ross",BECLAWS,269500-5799,Minnesota,Minnesota
"Caryn Stark",BECLAWS,269500-5799,Minnesota,Minnesota
"Zephania Merritt",BECLAWS,269500-5799,Minnesota,Minnesota
"Regan Mayer",BECLAWS,269500-5799,Minnesota,Minnesota
"Justine Burnett",BECLAWS,269500-5799,Minnesota,Minnesota
"Bertha Mccarty",BECLAWS,269500-5799,Minnesota,Minnesota
"Ima Massey",BECLAWS,269500-5799,Minnesota,Minnesota
"Guinevere Taylor",BECLAWS,269500-5799,Minnesota,Minnesota
