Time,Date,Drinker,BarID,Bar
9:44:35,11/4/2016,Nolan Meyers,122581-2526,ASPEN HILL BAR & GRILL
11:00:12,1/9/2015,Philip Carver,122581-2526,ASPEN HILL BAR & GRILL
20:35:27,8/9/2017,Aubrey Hall,122581-2526,ASPEN HILL BAR & GRILL
13:27:16,3/8/2016,Jennifer Guy,122581-2526,ASPEN HILL BAR & GRILL
2:56:17,6/19/2017,Thomas Carlson,122581-2526,ASPEN HILL BAR & GRILL
12:42:05,12/15/2016,Hu Castro,122581-2526,ASPEN HILL BAR & GRILL
14:21:00,11/26/2018,Lyle Schmidt,122581-2526,ASPEN HILL BAR & GRILL
11:07:35,11/2/2015,Patrick Lowery,122581-2526,ASPEN HILL BAR & GRILL
10:00:41,6/21/2016,Xena Hartman,122581-2526,ASPEN HILL BAR & GRILL
6:39:16,6/3/2015,Penelope Sosa,122581-2526,ASPEN HILL BAR & GRILL
21:19:01,7/7/2016,Yardley Slater,122581-2526,ASPEN HILL BAR & GRILL
19:47:17,1/3/2017,Pearl Hahn,122581-2526,ASPEN HILL BAR & GRILL
12:43:51,2/4/2016,Lyle Schmidt,122581-2526,ASPEN HILL BAR & GRILL
21:57:21,12/1/2015,Knox Nixon,122581-2526,ASPEN HILL BAR & GRILL
19:37:16,5/14/2015,Michael Wilkerson,122581-2526,ASPEN HILL BAR & GRILL
17:37:48,2/26/2016,Tucker Hood,122581-2526,ASPEN HILL BAR & GRILL
14:03:07,9/19/2016,Ursula Miller,122581-2526,ASPEN HILL BAR & GRILL
17:13:27,7/20/2017,Xaviera Mcfarland,122581-2526,ASPEN HILL BAR & GRILL
15:06:35,12/12/2016,Faith Reyes,698268-4422,Il Fornaio
2:02:41,4/5/2017,Madison Langley,698268-4422,Il Fornaio
14:06:17,4/27/2017,Katelyn Ochoa,698268-4422,Il Fornaio
4:41:18,9/3/2018,Baker Mayer,698268-4422,Il Fornaio
1:31:14,8/31/2015,Joel Lawson,698268-4422,Il Fornaio
3:37:06,7/28/2017,Elliott Alexander,698268-4422,Il Fornaio
10:33:10,6/2/2015,Tamekah Johns,698268-4422,Il Fornaio
14:53:36,4/19/2018,Ria Donovan,698268-4422,Il Fornaio
4:55:03,9/7/2018,Mason Ford,698268-4422,Il Fornaio
7:48:05,5/5/2017,Erich Meadows,698268-4422,Il Fornaio
7:10:45,10/17/2018,Indigo Steele,698268-4422,Il Fornaio
9:07:45,10/30/2017,Libby Mccarty,698268-4422,Il Fornaio
15:16:49,7/23/2015,Madison Langley,698268-4422,Il Fornaio
18:01:01,10/23/2018,Remedios Cunningham,698268-4422,Il Fornaio
17:11:30,7/15/2015,Louis Snyder,698268-4422,Il Fornaio
12:45:47,3/24/2017,Herman Mcfadden,698268-4422,Il Fornaio
2:55:02,7/31/2018,Serena Alford,698268-4422,Il Fornaio
6:18:23,1/3/2017,Joel Lawson,698268-4422,Il Fornaio
6:57:03,11/20/2015,Tamekah Johns,698268-4422,Il Fornaio
7:22:59,4/15/2015,Tamekah Johns,698268-4422,Il Fornaio
5:16:05,1/27/2017,Zia Montoya,698268-4422,Il Fornaio
13:35:38,9/21/2017,Kermit Obrien,698268-4422,Il Fornaio
5:53:55,5/12/2015,Louis Carson,698268-4422,Il Fornaio
10:19:52,12/26/2018,Erich Meadows,698268-4422,Il Fornaio
9:27:48,1/31/2018,Kitra Williams,698268-4422,Il Fornaio
2:24:23,2/14/2018,Tatum Fry,698268-4422,Il Fornaio
18:48:09,2/12/2018,Kevin Weiss,698268-4422,Il Fornaio
11:24:39,1/9/2015,Joel Lawson,698268-4422,Il Fornaio
9:01:43,4/30/2015,Tatum Fry,698268-4422,Il Fornaio
16:37:43,3/1/2018,Zenaida Alford,698268-4422,Il Fornaio
18:40:40,11/6/2017,Brandon Christian,698268-4422,Il Fornaio
12:19:45,8/17/2017,Kermit Obrien,698268-4422,Il Fornaio
12:01:09,12/8/2015,Bianca Diaz,698268-4422,Il Fornaio
17:54:27,1/16/2017,Mollie Wallace,698268-4422,Il Fornaio
14:18:18,8/24/2018,Indigo Steele,698268-4422,Il Fornaio
10:27:42,12/30/2016,Adam Roach,698268-4422,Il Fornaio
1:10:27,11/1/2018,Lucian Gallegos,698268-4422,Il Fornaio
2:59:33,3/12/2015,Hoyt Medina,698268-4422,Il Fornaio
12:59:30,7/4/2016,Hoyt Medina,698268-4422,Il Fornaio
18:00:49,3/21/2018,Libby Mccarty,698268-4422,Il Fornaio
7:24:24,4/24/2017,Baker Mayer,698268-4422,Il Fornaio
1:11:19,12/30/2015,Tallulah Brewer,698268-4422,Il Fornaio
6:37:18,4/11/2017,Amery Gibson,698268-4422,Il Fornaio
9:39:15,6/6/2016,Pearl Vinson,698268-4422,Il Fornaio
13:57:58,8/18/2016,Fitzgerald Riley,698268-4422,Il Fornaio
11:50:44,11/30/2015,Bianca Diaz,698268-4422,Il Fornaio
4:44:32,7/25/2017,Kevin Weiss,698268-4422,Il Fornaio
8:50:34,12/8/2015,Alea Yang,698268-4422,Il Fornaio
10:44:24,7/27/2017,Zenaida Alford,698268-4422,Il Fornaio
12:37:40,11/7/2017,Louis Carson,698268-4422,Il Fornaio
11:22:35,11/25/2015,Herman Mcfadden,698268-4422,Il Fornaio
17:13:02,12/25/2017,Hoyt Medina,698268-4422,Il Fornaio
4:10:18,12/25/2015,Amanda Wallace,698268-4422,Il Fornaio
14:30:12,4/8/2015,Tamekah Johns,698268-4422,Il Fornaio
11:06:21,4/12/2017,Serena Alford,698268-4422,Il Fornaio
10:18:53,3/6/2018,Louis Carson,698268-4422,Il Fornaio
7:21:36,4/28/2017,Pearl Vinson,698268-4422,Il Fornaio
7:26:29,2/25/2015,Erich Meadows,698268-4422,Il Fornaio
13:47:12,9/15/2017,Hammett Bradley,698268-4422,Il Fornaio
6:27:27,5/27/2015,Desirae Witt,698268-4422,Il Fornaio
8:45:20,6/7/2016,Kermit Obrien,698268-4422,Il Fornaio
12:55:17,2/24/2015,Louis Carson,698268-4422,Il Fornaio
3:36:46,3/23/2017,Tamekah Johns,698268-4422,Il Fornaio
17:35:01,2/18/2015,Louis Snyder,698268-4422,Il Fornaio
9:32:58,1/18/2017,Kevin Weiss,698268-4422,Il Fornaio
13:55:15,5/2/2018,Lesley Mcgowan,698268-4422,Il Fornaio
16:40:18,12/23/2015,Laurel Fulton,698268-4422,Il Fornaio
14:59:42,1/15/2015,Kermit Obrien,698268-4422,Il Fornaio
18:03:44,9/24/2018,Adam Roach,698268-4422,Il Fornaio
17:59:59,2/24/2015,Louis Carson,698268-4422,Il Fornaio
2:26:09,10/28/2015,Tatum Fry,698268-4422,Il Fornaio
1:50:36,2/1/2017,Yardley Henry,698268-4422,Il Fornaio
15:20:04,2/22/2016,Indigo Steele,698268-4422,Il Fornaio
2:19:45,9/11/2018,Amery Gibson,698268-4422,Il Fornaio
17:20:39,3/9/2018,Fitzgerald Riley,698268-4422,Il Fornaio
7:39:27,8/23/2017,Xaviera Carney,698268-4422,Il Fornaio
17:13:55,12/9/2015,Desirae Witt,698268-4422,Il Fornaio
13:10:11,4/6/2015,Adam Roach,698268-4422,Il Fornaio
5:11:13,11/19/2015,Walter Holden,698268-4422,Il Fornaio
12:15:46,4/6/2016,Walter Holden,698268-4422,Il Fornaio
17:56:16,4/22/2016,Amanda Wallace,698268-4422,Il Fornaio
4:11:19,1/7/2016,Pearl Vinson,698268-4422,Il Fornaio
10:13:02,6/29/2017,Sierra Pollard,698268-4422,Il Fornaio
12:53:54,7/20/2015,Zia Montoya,698268-4422,Il Fornaio
7:18:46,12/24/2018,Lucian Gallegos,698268-4422,Il Fornaio
3:55:10,6/20/2018,Kevin Weiss,698268-4422,Il Fornaio
9:43:18,10/11/2016,Sylvester Lindsey,698268-4422,Il Fornaio
10:02:31,8/16/2016,Adam Roach,698268-4422,Il Fornaio
6:11:55,7/17/2015,Leandra Potter,698268-4422,Il Fornaio
13:17:11,8/18/2017,Mason Ford,698268-4422,Il Fornaio
8:32:10,5/15/2018,Joel Lawson,698268-4422,Il Fornaio
1:53:15,2/10/2017,Kermit Obrien,698268-4422,Il Fornaio
7:07:01,3/1/2016,Alan Hardy,698268-4422,Il Fornaio
2:18:03,8/30/2016,Joel Lawson,698268-4422,Il Fornaio
16:57:48,11/10/2017,Mollie Wallace,698268-4422,Il Fornaio
5:22:29,9/30/2015,Illiana Taylor,698268-4422,Il Fornaio
12:38:59,6/22/2018,Ginger Owen,802054-2166,Blue Angel
12:39:49,2/10/2017,Fritz Gutierrez,802054-2166,Blue Angel
12:15:41,8/3/2015,Christopher Rojas,802054-2166,Blue Angel
6:49:18,5/26/2017,Logan Serrano,802054-2166,Blue Angel
5:43:25,3/17/2016,Fletcher Potter,802054-2166,Blue Angel
9:00:41,6/24/2016,Troy Lambert,802054-2166,Blue Angel
6:45:44,11/7/2017,Noel Perry,802054-2166,Blue Angel
7:06:19,6/20/2017,Timon Compton,802054-2166,Blue Angel
12:07:02,5/4/2018,Brandon Schroeder,802054-2166,Blue Angel
8:43:45,5/31/2016,Hiroko Saunders,802054-2166,Blue Angel
12:28:02,1/18/2016,Abigail Watkins,802054-2166,Blue Angel
15:27:01,1/22/2018,Pamela Woodward,802054-2166,Blue Angel
11:45:56,7/22/2015,Erin Gallegos,802054-2166,Blue Angel
10:11:18,5/10/2017,Winifred Mccall,802054-2166,Blue Angel
11:25:41,1/15/2018,Amery Sawyer,802054-2166,Blue Angel
6:26:43,5/4/2016,Fulton Nielsen,802054-2166,Blue Angel
12:47:15,10/20/2017,Fritz Gutierrez,802054-2166,Blue Angel
5:03:22,10/31/2017,Garrison Norton,802054-2166,Blue Angel
11:48:13,4/13/2016,Roth Barnett,802054-2166,Blue Angel
11:10:53,11/2/2017,Hiroko Saunders,802054-2166,Blue Angel
14:35:04,7/28/2016,Ginger Owen,802054-2166,Blue Angel
11:14:08,7/18/2017,Kyla Gonzales,802054-2166,Blue Angel
10:18:42,10/22/2018,Alana Sweet,802054-2166,Blue Angel
16:26:12,12/15/2017,Colleen Morin,802054-2166,Blue Angel
16:24:45,2/22/2018,Jeanette Navarro,802054-2166,Blue Angel
11:40:56,6/12/2017,Remedios Walls,802054-2166,Blue Angel
11:09:15,4/3/2018,Kyra Kennedy,802054-2166,Blue Angel
13:52:37,4/24/2018,Tad Briggs,802054-2166,Blue Angel
5:38:50,1/5/2017,Logan Serrano,802054-2166,Blue Angel
6:01:38,8/22/2018,Mallory Haley,802054-2166,Blue Angel
10:46:35,6/23/2017,Phillip Chaney,802054-2166,Blue Angel
10:26:38,12/28/2015,Amery Sawyer,802054-2166,Blue Angel
15:49:41,4/26/2018,Colleen Morin,802054-2166,Blue Angel
16:14:25,4/25/2018,Melinda Olson,802054-2166,Blue Angel
5:19:35,8/22/2016,Ruby Kelly,802054-2166,Blue Angel
11:11:28,8/31/2016,Suki Watkins,802054-2166,Blue Angel
14:31:06,8/29/2017,Tucker Simon,802054-2166,Blue Angel
5:49:36,9/17/2015,Larissa Simon,802054-2166,Blue Angel
13:28:31,8/23/2016,Kenneth Frye,802054-2166,Blue Angel
5:53:19,6/12/2018,Ivy Fields,802054-2166,Blue Angel
15:14:00,11/18/2015,Ivy Fields,802054-2166,Blue Angel
8:35:43,5/4/2015,Jaquelyn Arnold,802054-2166,Blue Angel
8:10:04,1/12/2016,Timon Compton,802054-2166,Blue Angel
9:57:38,12/31/2015,Colorado Cooley,802054-2166,Blue Angel
15:00:57,8/9/2017,Griffith Kidd,802054-2166,Blue Angel
8:34:24,5/2/2018,Idola Bird,802054-2166,Blue Angel
10:02:04,12/5/2018,Brandon Schroeder,802054-2166,Blue Angel
13:49:06,8/15/2017,Ursula Mcpherson,802054-2166,Blue Angel
9:00:42,4/5/2018,Alana Sweet,802054-2166,Blue Angel
7:13:20,2/24/2016,Kibo Gregory,802054-2166,Blue Angel
11:05:46,6/28/2018,Cameran Barker,802054-2166,Blue Angel
15:09:08,1/20/2016,Brooke Fox,802054-2166,Blue Angel
10:17:43,5/3/2018,Gretchen Nixon,802054-2166,Blue Angel
10:06:40,7/11/2016,Kiayada Alexander,802054-2166,Blue Angel
11:20:01,1/11/2018,Bryar Davidson,802054-2166,Blue Angel
16:00:39,7/12/2018,Brandon Schroeder,802054-2166,Blue Angel
9:18:33,3/13/2015,Colorado Cooley,802054-2166,Blue Angel
16:19:48,10/22/2018,Idola Bird,802054-2166,Blue Angel
14:53:57,3/16/2016,Kareem Sears,802054-2166,Blue Angel
14:22:25,11/11/2015,Otto Barton,802054-2166,Blue Angel
8:33:21,11/9/2016,Harriet Wheeler,802054-2166,Blue Angel
11:27:22,6/15/2016,Gretchen Nixon,802054-2166,Blue Angel
16:08:22,8/24/2015,Fritz Gutierrez,802054-2166,Blue Angel
12:54:47,6/28/2018,Gloria Armstrong,802054-2166,Blue Angel
5:03:52,12/25/2018,Kyra Kennedy,802054-2166,Blue Angel
14:32:22,5/4/2016,Logan Serrano,802054-2166,Blue Angel
13:59:40,1/16/2017,Remedios Walls,802054-2166,Blue Angel
16:08:42,6/27/2016,Cameran Barker,802054-2166,Blue Angel
10:41:52,2/4/2015,Hall Harrington,802054-2166,Blue Angel
14:35:11,2/17/2015,Ivy Fields,802054-2166,Blue Angel
10:58:43,10/9/2017,Kenneth Frye,802054-2166,Blue Angel
14:52:49,2/16/2015,Fritz Cardenas,802054-2166,Blue Angel
15:30:25,1/20/2016,Geraldine Jacobs,802054-2166,Blue Angel
12:52:17,9/15/2017,Bryar Davidson,802054-2166,Blue Angel
12:13:55,9/5/2018,Bernard Vega,802054-2166,Blue Angel
12:29:43,10/12/2017,Yetta Snow,802054-2166,Blue Angel
12:48:07,12/27/2018,Lavinia Best,802054-2166,Blue Angel
15:23:20,10/4/2018,Medge Johns,802054-2166,Blue Angel
8:31:44,9/28/2017,Sharon Carpenter,802054-2166,Blue Angel
15:40:00,7/18/2018,Nichole Ochoa,802054-2166,Blue Angel
16:26:43,2/2/2016,Cullen English,802054-2166,Blue Angel
15:19:31,1/22/2018,Harriet Wheeler,802054-2166,Blue Angel
16:26:28,10/26/2017,Otto Barton,802054-2166,Blue Angel
11:15:00,2/19/2015,Hiroko Saunders,802054-2166,Blue Angel
12:53:48,7/17/2017,Geraldine Jacobs,802054-2166,Blue Angel
11:02:38,1/22/2018,Eric Cooper,802054-2166,Blue Angel
11:41:51,12/14/2017,Garrison Norton,802054-2166,Blue Angel
13:42:17,6/8/2018,Valentine Rocha,802054-2166,Blue Angel
15:31:41,6/22/2015,Lewis Solomon,802054-2166,Blue Angel
6:21:22,7/21/2017,Kiayada Alexander,802054-2166,Blue Angel
5:37:03,11/10/2017,Sharon Carpenter,802054-2166,Blue Angel
6:59:54,9/20/2016,Medge Johns,802054-2166,Blue Angel
9:06:34,4/2/2018,Yeo Schroeder,802054-2166,Blue Angel
7:30:33,3/1/2017,Ursula Mcpherson,802054-2166,Blue Angel
15:23:48,9/15/2017,Ruby Kelly,802054-2166,Blue Angel
11:04:07,2/4/2016,Xavier Price,802054-2166,Blue Angel
7:03:37,2/10/2015,Alana Sweet,802054-2166,Blue Angel
11:45:31,11/16/2018,Idola Bird,802054-2166,Blue Angel
5:21:30,2/22/2017,Violet Castro,759258-8235,Seven Bamboo
4:33:43,9/25/2015,Yael Cooke,759258-8235,Seven Bamboo
