id,Bar,BarState,License,Name,DrinkerState,SSN,YesOrNo
97,METRO CLUB,Arkansas,289884-2378,Solomon Ratliff,Arkansas,201-01-01,No
164,CRISFIELD SEAFOOD RESTAURANT,Arkansas,195256-6840,Solomon Ratliff,Arkansas,201-01-01,Yes
236,LA MADELEINE,Arkansas,027174-2033,Solomon Ratliff,Arkansas,201-01-01,Yes
76,ADDISU GEBEYA,Kansas,659375-5835,Thaddeus Knapp,Kansas,358-45-02,No
92,Belgian Pub BeerHouse,Kansas,416665-7371,Thaddeus Knapp,Kansas,358-45-02,Yes
196,St. George's Tavern,Kansas,922270-1568,Thaddeus Knapp,Kansas,358-45-02,No
234,THAI AT SILVER SPRING,Kansas,887258-6824,Thaddeus Knapp,Kansas,358-45-02,Yes
14,SENOR TEQUILA'S,Delaware,744864-1998,Myles Montgomery,Delaware,055-29-07,Yes
72,Chez Ammad,Delaware,195979-2548,Myles Montgomery,Delaware,055-29-07,No
94,ARIA BAR & GRILL,Delaware,705071-9785,Myles Montgomery,Delaware,055-29-07,Yes
166,PETERS CARRY OUT,Delaware,825935-7435,Myles Montgomery,Delaware,055-29-07,Yes
227,CUBANO'S,Delaware,284560-8641,Myles Montgomery,Delaware,055-29-07,Yes
238,THE QUARRY HOUSE TAVERN,Delaware,906351-1597,Myles Montgomery,Delaware,055-29-07,No
76,ADDISU GEBEYA,Kansas,659375-5835,Tyrone Bishop,Kansas,709-55-05,Yes
92,Belgian Pub BeerHouse,Kansas,416665-7371,Tyrone Bishop,Kansas,709-55-05,Yes
196,St. George's Tavern,Kansas,922270-1568,Tyrone Bishop,Kansas,709-55-05,Yes
234,THAI AT SILVER SPRING,Kansas,887258-6824,Tyrone Bishop,Kansas,709-55-05,No
23,KWIK BAR & GRILL,Wisconsin,343655-3428,Jaden Bernard,Wisconsin,363-33-00,No
35,WORLD OF BEER,Wisconsin,749156-9476,Jaden Bernard,Wisconsin,363-33-00,Yes
141,John Bull Pub,Wisconsin,936645-6904,Jaden Bernard,Wisconsin,363-33-00,No
147,Humble Grape - Battersea,Wisconsin,289362-8384,Jaden Bernard,Wisconsin,363-33-00,Yes
248,The Italian Job,Wisconsin,664654-3022,Jaden Bernard,Wisconsin,363-33-00,Yes
24,PIZZERIA DAMARCO,Washington,443927-4046,Owen Lott,Washington,240-62-09,Yes
96,EL AMATE RESTAURANT,Washington,284564-0263,Owen Lott,Washington,240-62-09,Yes
101,M&BZ,Washington,474140-4315,Owen Lott,Washington,240-62-09,Yes
243,BANGKOK GARDEN RESTAURANT,Washington,577007-7120,Owen Lott,Washington,240-62-09,No
61,Combat,Vermont,163829-1896,Rigel Banks,Vermont,602-75-08,Yes
69,La Fine Mousse,Vermont,234798-4284,Rigel Banks,Vermont,602-75-08,No
99,Connolly Station,Vermont,638134-8991,Rigel Banks,Vermont,602-75-08,Yes
114,Ulysses Pub,Vermont,603310-5963,Rigel Banks,Vermont,602-75-08,No
179,Kings Stores,Vermont,905752-1115,Rigel Banks,Vermont,602-75-08,No
242,LOS COBANOS RESTAURANT,Vermont,312938-5286,Rigel Banks,Vermont,602-75-08,Yes
132,JO'S BEER-WINE,Mississippi,422040-9934,Davis Buckley,Mississippi,154-31-06,No
197,The Camel Pub,Mississippi,987575-5317,Davis Buckley,Mississippi,154-31-06,No
199,The Duke Of Argyll,Mississippi,452548-3394,Davis Buckley,Mississippi,154-31-06,No
216,CARAVAN,Mississippi,034340-6674,Davis Buckley,Mississippi,154-31-06,Yes
233,CAVA RESTAURANT,Mississippi,727659-2461,Davis Buckley,Mississippi,154-31-06,No
10,MAMMA LUCIA,Maryland,825954-1152,MacKenzie Dennis,Maryland,645-67-01,Yes
21,The Shark and Rose,Maryland,385233-3057,MacKenzie Dennis,Maryland,645-67-01,No
32,EL PAISANO,Maryland,269448-6792,MacKenzie Dennis,Maryland,645-67-01,No
38,WHEATON WINERY,Maryland,426942-2970,MacKenzie Dennis,Maryland,645-67-01,No
82,POSITANO RISTORANTE ITALIANO,Maryland,784026-4704,MacKenzie Dennis,Maryland,645-67-01,No
93,MIDWAY PUB,Maryland,589827-6299,MacKenzie Dennis,Maryland,645-67-01,Yes
90,Guns & Bears Pub,Louisiana,066604-4524,Bell Gregory,Louisiana,400-22-03,Yes
105,The Lounge,Louisiana,557061-3801,Bell Gregory,Louisiana,400-22-03,No
177,YEKTA KABOBI,Louisiana,018125-2537,Bell Gregory,Louisiana,400-22-03,Yes
180,EL PATIO,Louisiana,266006-4748,Bell Gregory,Louisiana,400-22-03,No
194,TOKYO SUSHI,Louisiana,963932-2784,Bell Gregory,Louisiana,400-22-03,No
209,TEX'S PLACE,Louisiana,137395-0748,Bell Gregory,Louisiana,400-22-03,Yes
240,BENIHANA OF TOKYO,Louisiana,746233-3159,Bell Gregory,Louisiana,400-22-03,No
244,AMALFI RISTORANTE,Louisiana,128083-8887,Bell Gregory,Louisiana,400-22-03,No
88,Porosello,Illinois,775033-0743,Clare Johns,Illinois,788-49-08,Yes
89,TOTAL BAR,Illinois,532821-8028,Clare Johns,Illinois,788-49-08,Yes
154,Satan's Whiskers,Illinois,786366-9730,Clare Johns,Illinois,788-49-08,Yes
155,Beaufort Bar,Illinois,934943-7856,Clare Johns,Illinois,788-49-08,Yes
174,HOT POT LEGEND,Illinois,268449-3063,Clare Johns,Illinois,788-49-08,No
201,MAMMA LENA,Illinois,287813-8268,Clare Johns,Illinois,788-49-08,No
9,The B-Hive,Nebraska,159927-7181,Clarke Hansen,Nebraska,530-71-02,Yes
41,TWINBROOK BAR,Nebraska,792185-8796,Clarke Hansen,Nebraska,530-71-02,Yes
44,L’avant comptoir du marché,Nebraska,508969-5034,Clarke Hansen,Nebraska,530-71-02,No
53,Les Trois 8,Nebraska,066016-1696,Clarke Hansen,Nebraska,530-71-02,No
88,Porosello,Illinois,775033-0743,Priscilla Franco,Illinois,599-58-05,No
89,TOTAL BAR,Illinois,532821-8028,Priscilla Franco,Illinois,599-58-05,Yes
154,Satan's Whiskers,Illinois,786366-9730,Priscilla Franco,Illinois,599-58-05,No
155,Beaufort Bar,Illinois,934943-7856,Priscilla Franco,Illinois,599-58-05,Yes
174,HOT POT LEGEND,Illinois,268449-3063,Priscilla Franco,Illinois,599-58-05,Yes
201,MAMMA LENA,Illinois,287813-8268,Priscilla Franco,Illinois,599-58-05,Yes
19,The Blank Club,North Carolina,307264-2642,Louis Levy,North Carolina,162-75-03,No
22,J N K BEER & WINE,North Carolina,368909-3791,Louis Levy,North Carolina,162-75-03,Yes
34,MELLOW MUSHROOM,North Carolina,826547-8266,Louis Levy,North Carolina,162-75-03,Yes
56,SHANGHAI VILLAGE,North Carolina,329549-8939,Louis Levy,North Carolina,162-75-03,Yes
23,KWIK BAR & GRILL,Wisconsin,343655-3428,Sasha Clark,Wisconsin,846-04-03,No
35,WORLD OF BEER,Wisconsin,749156-9476,Sasha Clark,Wisconsin,846-04-03,Yes
141,John Bull Pub,Wisconsin,936645-6904,Sasha Clark,Wisconsin,846-04-03,Yes
147,Humble Grape - Battersea,Wisconsin,289362-8384,Sasha Clark,Wisconsin,846-04-03,No
248,The Italian Job,Wisconsin,664654-3022,Sasha Clark,Wisconsin,846-04-03,Yes
36,PASSION FISH,California,994587-9188,Alexander Meyer,California,321-66-08,No
46,Candelaria,California,645845-0472,Alexander Meyer,California,321-66-08,No
185,CHEESESTEAK MIKE'S,California,214195-2529,Alexander Meyer,California,321-66-08,Yes
10,MAMMA LUCIA,Maryland,825954-1152,Kirestin Berry,Maryland,031-98-09,No
21,The Shark and Rose,Maryland,385233-3057,Kirestin Berry,Maryland,031-98-09,Yes
32,EL PAISANO,Maryland,269448-6792,Kirestin Berry,Maryland,031-98-09,No
38,WHEATON WINERY,Maryland,426942-2970,Kirestin Berry,Maryland,031-98-09,No
82,POSITANO RISTORANTE ITALIANO,Maryland,784026-4704,Kirestin Berry,Maryland,031-98-09,No
93,MIDWAY PUB,Maryland,589827-6299,Kirestin Berry,Maryland,031-98-09,Yes
104,TRATTORIA SORRENTO,Kentucky,692127-6439,Holly Vega,Kentucky,359-41-03,No
143,Respublika,Kentucky,457966-5128,Holly Vega,Kentucky,359-41-03,No
152,Tavern U Okolitsy,Kentucky,302168-0412,Holly Vega,Kentucky,359-41-03,Yes
192,TAIPEI CAFE,Kentucky,083408-0624,Holly Vega,Kentucky,359-41-03,Yes
198,Long Bar,Kentucky,395573-9457,Holly Vega,Kentucky,359-41-03,No
17,The Backbeat,Pennsylvania,845635-3971,Vernon Stark,Pennsylvania,135-21-08,No
57,La Mezcaleria,Pennsylvania,059219-3288,Vernon Stark,Pennsylvania,135-21-08,Yes
65,EL MARIACHI,Pennsylvania,107629-9856,Vernon Stark,Pennsylvania,135-21-08,Yes
122,Tweed&Stout,Pennsylvania,443862-2740,Vernon Stark,Pennsylvania,135-21-08,No
133,DAD'S BEER ,Pennsylvania,987820-7241,Vernon Stark,Pennsylvania,135-21-08,No
231,OUTTA THE WAY CAFE,Pennsylvania,993879-6407,Vernon Stark,Pennsylvania,135-21-08,No
235,MINERVA INDIAN CUISINE,Pennsylvania,636663-6196,Vernon Stark,Pennsylvania,135-21-08,No
14,SENOR TEQUILA'S,Delaware,744864-1998,Jemima Mccoy,Delaware,187-65-07,No
72,Chez Ammad,Delaware,195979-2548,Jemima Mccoy,Delaware,187-65-07,No
94,ARIA BAR & GRILL,Delaware,705071-9785,Jemima Mccoy,Delaware,187-65-07,No
166,PETERS CARRY OUT,Delaware,825935-7435,Jemima Mccoy,Delaware,187-65-07,Yes
227,CUBANO'S,Delaware,284560-8641,Jemima Mccoy,Delaware,187-65-07,No
238,THE QUARRY HOUSE TAVERN,Delaware,906351-1597,Jemima Mccoy,Delaware,187-65-07,Yes
68,A.P. Stump's,Ohio,MA12347,Whilemina Acosta,Ohio,685-94-06,No
178,SIU'S ASIAN BISTRO,Ohio,647562-0404,Whilemina Acosta,Ohio,685-94-06,No
187,ATTMAN'S BAR & GRILL,Ohio,548813-2340,Whilemina Acosta,Ohio,685-94-06,No
221,The Ship and Whale,Ohio,986328-7539,Whilemina Acosta,Ohio,685-94-06,No
5,Seven Bamboo,Idaho,759258-8235,Trevor Justice,Idaho,658-57-05,Yes
7,Le Syndicat,Idaho,555889-1650,Trevor Justice,Idaho,658-57-05,No
66,HANARO RESTAURANT AND LOUNGE,Idaho,367303-7044,Trevor Justice,Idaho,658-57-05,No
85,Bar Neon Monkey,Idaho,829829-6701,Trevor Justice,Idaho,658-57-05,Yes
149,HOP N GRAPE,Idaho,197460-5337,Trevor Justice,Idaho,658-57-05,Yes
213,The DrumLeyton,Idaho,855299-2110,Trevor Justice,Idaho,658-57-05,Yes
239,MIDDLE EAST CUISINE,Idaho,682135-2579,Trevor Justice,Idaho,658-57-05,Yes
90,Guns & Bears Pub,Louisiana,066604-4524,Mohammad Merritt,Louisiana,504-23-07,No
105,The Lounge,Louisiana,557061-3801,Mohammad Merritt,Louisiana,504-23-07,Yes
177,YEKTA KABOBI,Louisiana,018125-2537,Mohammad Merritt,Louisiana,504-23-07,Yes
180,EL PATIO,Louisiana,266006-4748,Mohammad Merritt,Louisiana,504-23-07,Yes
194,TOKYO SUSHI,Louisiana,963932-2784,Mohammad Merritt,Louisiana,504-23-07,Yes
209,TEX'S PLACE,Louisiana,137395-0748,Mohammad Merritt,Louisiana,504-23-07,Yes
240,BENIHANA OF TOKYO,Louisiana,746233-3159,Mohammad Merritt,Louisiana,504-23-07,Yes
244,AMALFI RISTORANTE,Louisiana,128083-8887,Mohammad Merritt,Louisiana,504-23-07,Yes
124,THE GREENE TURTLE-Az,Arizona,272426-2650,Zephr Holmes,Arizona,725-27-05,No
153,CANA BEER & WINE,Arizona,192695-6895,Zephr Holmes,Arizona,725-27-05,No
15,GOLF ULTRA LOUNGE,Colorado,008054-3713,Jonas Bullock,Colorado,778-57-02,Yes
45,FOUR U,Colorado,436611-7341,Jonas Bullock,Colorado,778-57-02,No
75,TARA THAI,Colorado,514464-4324,Jonas Bullock,Colorado,778-57-02,Yes
148,OLAZZO RESTAURANT,Colorado,544976-6244,Jonas Bullock,Colorado,778-57-02,Yes
171,BETHESDA CRAB HOUSE,Colorado,789601-4995,Jonas Bullock,Colorado,778-57-02,No
98,Pivbar Kolomenskoye,Connecticut,365700-4523,Peter Walter,Connecticut,573-42-05,No
110,Mandy's Apothecary Irish Pub,Connecticut,036932-8331,Peter Walter,Connecticut,573-42-05,Yes
115,Cabana,Connecticut,012286-7948,Peter Walter,Connecticut,573-42-05,No
203,NEW VILLAGE RESTAURANT,Connecticut,034706-7472,Peter Walter,Connecticut,573-42-05,No
237,HUNAN NIGHT,Connecticut,619242-8172,Peter Walter,Connecticut,573-42-05,No
109,John Donne Pub,Indiana,575493-8545,Ivy Cotton,Indiana,415-79-03,No
126,GOURMET PUB,Indiana,238323-5054,Ivy Cotton,Indiana,415-79-03,No
218,IL PORTO,Indiana,657698-5615,Ivy Cotton,Indiana,415-79-03,Yes
14,SENOR TEQUILA'S,Delaware,744864-1998,Willa Ford,Delaware,707-71-04,Yes
72,Chez Ammad,Delaware,195979-2548,Willa Ford,Delaware,707-71-04,Yes
94,ARIA BAR & GRILL,Delaware,705071-9785,Willa Ford,Delaware,707-71-04,No
166,PETERS CARRY OUT,Delaware,825935-7435,Willa Ford,Delaware,707-71-04,Yes
227,CUBANO'S,Delaware,284560-8641,Willa Ford,Delaware,707-71-04,No
238,THE QUARRY HOUSE TAVERN,Delaware,906351-1597,Willa Ford,Delaware,707-71-04,Yes
61,Combat,Vermont,163829-1896,Chandler Walker,Vermont,573-17-05,Yes
69,La Fine Mousse,Vermont,234798-4284,Chandler Walker,Vermont,573-17-05,Yes
99,Connolly Station,Vermont,638134-8991,Chandler Walker,Vermont,573-17-05,No
114,Ulysses Pub,Vermont,603310-5963,Chandler Walker,Vermont,573-17-05,No
179,Kings Stores,Vermont,905752-1115,Chandler Walker,Vermont,573-17-05,Yes
242,LOS COBANOS RESTAURANT,Vermont,312938-5286,Chandler Walker,Vermont,573-17-05,No
11,BROOKVILLE EATERY,Georgia,405616-0742,Gareth Harris,Georgia,759-01-09,No
25,Britannia Arms,Georgia,033266-5462,Gareth Harris,Georgia,759-01-09,Yes
129,SAFEWAY,Georgia,076279-9393,Gareth Harris,Georgia,759-01-09,No
130,Anderdog,Georgia,426308-0014,Gareth Harris,Georgia,759-01-09,Yes
140,MAPLE BEER AND WINE,Georgia,624171-7682,Gareth Harris,Georgia,759-01-09,Yes
176,PETER'S GRILL,Georgia,567033-1627,Gareth Harris,Georgia,759-01-09,Yes
181,MIX BAR & GRILL,Georgia,167553-1543,Gareth Harris,Georgia,759-01-09,Yes
225,Hedley Club,Georgia,627764-8355,Gareth Harris,Georgia,759-01-09,Yes
125,SPRING BEER HOUSE,Nevada,556027-9498,Thor Steele,Nevada,095-30-06,Yes
127,KINGSVIEW CLUB,Nevada,047272-1463,Thor Steele,Nevada,095-30-06,Yes
128,Bruxelles,Nevada,935080-2824,Thor Steele,Nevada,095-30-06,No
136,TAKOMA PARK PUB,Nevada,562552-4672,Thor Steele,Nevada,095-30-06,No
160,BALDUCCI'S,Nevada,189932-3255,Thor Steele,Nevada,095-30-06,Yes
208,SEOULFOOD DC,Nevada,328119-7933,Thor Steele,Nevada,095-30-06,No
224,Giza Hookah Lounge,Nevada,309407-2687,Thor Steele,Nevada,095-30-06,Yes
90,Guns & Bears Pub,Louisiana,066604-4524,Ralph Torres,Louisiana,815-63-07,Yes
105,The Lounge,Louisiana,557061-3801,Ralph Torres,Louisiana,815-63-07,Yes
177,YEKTA KABOBI,Louisiana,018125-2537,Ralph Torres,Louisiana,815-63-07,No
180,EL PATIO,Louisiana,266006-4748,Ralph Torres,Louisiana,815-63-07,Yes
194,TOKYO SUSHI,Louisiana,963932-2784,Ralph Torres,Louisiana,815-63-07,No
209,TEX'S PLACE,Louisiana,137395-0748,Ralph Torres,Louisiana,815-63-07,Yes
240,BENIHANA OF TOKYO,Louisiana,746233-3159,Ralph Torres,Louisiana,815-63-07,Yes
244,AMALFI RISTORANTE,Louisiana,128083-8887,Ralph Torres,Louisiana,815-63-07,No
104,TRATTORIA SORRENTO,Kentucky,692127-6439,Dale Leonard,Kentucky,561-90-00,Yes
143,Respublika,Kentucky,457966-5128,Dale Leonard,Kentucky,561-90-00,No
152,Tavern U Okolitsy,Kentucky,302168-0412,Dale Leonard,Kentucky,561-90-00,Yes
192,TAIPEI CAFE,Kentucky,083408-0624,Dale Leonard,Kentucky,561-90-00,No
198,Long Bar,Kentucky,395573-9457,Dale Leonard,Kentucky,561-90-00,Yes
17,The Backbeat,Pennsylvania,845635-3971,Thaddeus Harrington,Pennsylvania,484-75-04,Yes
57,La Mezcaleria,Pennsylvania,059219-3288,Thaddeus Harrington,Pennsylvania,484-75-04,Yes
65,EL MARIACHI,Pennsylvania,107629-9856,Thaddeus Harrington,Pennsylvania,484-75-04,Yes
122,Tweed&Stout,Pennsylvania,443862-2740,Thaddeus Harrington,Pennsylvania,484-75-04,No
133,DAD'S BEER ,Pennsylvania,987820-7241,Thaddeus Harrington,Pennsylvania,484-75-04,No
231,OUTTA THE WAY CAFE,Pennsylvania,993879-6407,Thaddeus Harrington,Pennsylvania,484-75-04,No
235,MINERVA INDIAN CUISINE,Pennsylvania,636663-6196,Thaddeus Harrington,Pennsylvania,484-75-04,No
68,A.P. Stump's,Ohio,MA12347,Porter Spence,Ohio,359-18-01,No
178,SIU'S ASIAN BISTRO,Ohio,647562-0404,Porter Spence,Ohio,359-18-01,No
187,ATTMAN'S BAR & GRILL,Ohio,548813-2340,Porter Spence,Ohio,359-18-01,Yes
221,The Ship and Whale,Ohio,986328-7539,Porter Spence,Ohio,359-18-01,Yes
24,PIZZERIA DAMARCO,Washington,443927-4046,Yoshio Glass,Washington,539-39-00,Yes
96,EL AMATE RESTAURANT,Washington,284564-0263,Yoshio Glass,Washington,539-39-00,No
101,M&BZ,Washington,474140-4315,Yoshio Glass,Washington,539-39-00,No
243,BANGKOK GARDEN RESTAURANT,Washington,577007-7120,Yoshio Glass,Washington,539-39-00,Yes
68,A.P. Stump's,Ohio,MA12347,Tad Arnold,Ohio,216-58-02,No
178,SIU'S ASIAN BISTRO,Ohio,647562-0404,Tad Arnold,Ohio,216-58-02,No
187,ATTMAN'S BAR & GRILL,Ohio,548813-2340,Tad Arnold,Ohio,216-58-02,No
221,The Ship and Whale,Ohio,986328-7539,Tad Arnold,Ohio,216-58-02,No
104,TRATTORIA SORRENTO,Kentucky,692127-6439,Owen Burgess,Kentucky,252-98-00,Yes
143,Respublika,Kentucky,457966-5128,Owen Burgess,Kentucky,252-98-00,Yes
152,Tavern U Okolitsy,Kentucky,302168-0412,Owen Burgess,Kentucky,252-98-00,Yes
192,TAIPEI CAFE,Kentucky,083408-0624,Owen Burgess,Kentucky,252-98-00,No
198,Long Bar,Kentucky,395573-9457,Owen Burgess,Kentucky,252-98-00,No
137,Budvar,Maine,826130-4276,Phelan Nieves,Maine,389-33-08,No
168,The Rivoli Bar,Maine,726147-6027,Phelan Nieves,Maine,389-33-08,Yes
191,ARMAND'S PIZZERIA & GRILLE,Maine,506492-2536,Phelan Nieves,Maine,389-33-08,No
215,St. James Tavern,Maine,454665-2704,Phelan Nieves,Maine,389-33-08,No
219,Coconut Willie's Cocktail Lounge,Maine,103228-2632,Phelan Nieves,Maine,389-33-08,Yes
84,L'Avant Comptoir de la Mer,Arkansas,972787-2484,Clio Sampson,Arkansas,747-65-06,Yes
91,DOCK OF THE BAY,Arkansas,835167-6583,Clio Sampson,Arkansas,747-65-06,No
97,METRO CLUB,Arkansas,289884-2378,Clio Sampson,Arkansas,747-65-06,No
164,CRISFIELD SEAFOOD RESTAURANT,Arkansas,195256-6840,Clio Sampson,Arkansas,747-65-06,Yes
236,LA MADELEINE,Arkansas,027174-2033,Clio Sampson,Arkansas,747-65-06,No
68,A.P. Stump's,Ohio,MA12347,Ezekiel Dillard,Ohio,194-24-04,No
178,SIU'S ASIAN BISTRO,Ohio,647562-0404,Ezekiel Dillard,Ohio,194-24-04,No
187,ATTMAN'S BAR & GRILL,Ohio,548813-2340,Ezekiel Dillard,Ohio,194-24-04,No
221,The Ship and Whale,Ohio,986328-7539,Ezekiel Dillard,Ohio,194-24-04,No
124,THE GREENE TURTLE-Az,Arizona,272426-2650,Lynn Watts,Arizona,816-44-07,Yes
153,CANA BEER & WINE,Arizona,192695-6895,Lynn Watts,Arizona,816-44-07,Yes
6,PINEY BRANCH PUB,Minnesota,574707-0877,Marshall Swanson,Minnesota,427-95-08,No
18,BECLAWS,Minnesota,269500-5799,Marshall Swanson,Minnesota,427-95-08,Yes
157,TARA THAI RESTAURANT,Minnesota,033029-0636,Marshall Swanson,Minnesota,427-95-08,No
183,EVA LOUNGE,Minnesota,243206-3382,Marshall Swanson,Minnesota,427-95-08,No
212,EL SOL SALVADOREAN & MEXICAN REST.,Minnesota,519829-9801,Marshall Swanson,Minnesota,427-95-08,Yes
104,TRATTORIA SORRENTO,Kentucky,692127-6439,Dylan Buckley,Kentucky,050-40-09,No
143,Respublika,Kentucky,457966-5128,Dylan Buckley,Kentucky,050-40-09,Yes
152,Tavern U Okolitsy,Kentucky,302168-0412,Dylan Buckley,Kentucky,050-40-09,No
192,TAIPEI CAFE,Kentucky,083408-0624,Dylan Buckley,Kentucky,050-40-09,Yes
198,Long Bar,Kentucky,395573-9457,Dylan Buckley,Kentucky,050-40-09,Yes
52,EGGSPECTATION,Missouri,459940-2189,Griffith Bradshaw,Missouri,251-45-06,Yes
54,L'Ours Bar,Missouri,402911-2895,Griffith Bradshaw,Missouri,251-45-06,Yes
134,Genatzvale Hall,Missouri,825794-2857,Griffith Bradshaw,Missouri,251-45-06,Yes
150,CHOICE ,Missouri,075626-4206,Griffith Bradshaw,Missouri,251-45-06,No
223,SILVER,Missouri,716079-8588,Griffith Bradshaw,Missouri,251-45-06,Yes
67,Moonshiner,Florida,807305-7500,Quemby Maldonado,Florida,810-01-05,Yes
74,Aux Folies,Florida,178856-0090,Quemby Maldonado,Florida,810-01-05,Yes
87,Neko,Florida,097147-8367,Quemby Maldonado,Florida,810-01-05,No
119,SHALOM STRICTLY KOSHER MEATS,Florida,077097-3972,Quemby Maldonado,Florida,810-01-05,No
158,SOUTHLAWN RESTAURANT,Florida,558375-0236,Quemby Maldonado,Florida,810-01-05,No
161,Artesian,Florida,023683-4925,Quemby Maldonado,Florida,810-01-05,No
228,BACCHUS OF LEBANON,Florida,397549-9173,Quemby Maldonado,Florida,810-01-05,No
246,Brass Monkey,Florida,704506-9023,Quemby Maldonado,Florida,810-01-05,Yes
1,TACO BAR,New Hampshire,417478-9703,Laurel Forbes,New Hampshire,580-48-03,Yes
27,PARTY TIME LOUNGE,New Hampshire,513075-0960,Laurel Forbes,New Hampshire,580-48-03,No
62,CUBA DE AYER,New Hampshire,746894-2946,Laurel Forbes,New Hampshire,580-48-03,No
63,THE YO YO CAFE,New Hampshire,347113-2062,Laurel Forbes,New Hampshire,580-48-03,No
64,En Vrac,New Hampshire,065245-1634,Laurel Forbes,New Hampshire,580-48-03,Yes
67,Moonshiner,Florida,807305-7500,Samantha Bass,Florida,546-10-06,No
74,Aux Folies,Florida,178856-0090,Samantha Bass,Florida,546-10-06,Yes
87,Neko,Florida,097147-8367,Samantha Bass,Florida,546-10-06,No
119,SHALOM STRICTLY KOSHER MEATS,Florida,077097-3972,Samantha Bass,Florida,546-10-06,Yes
158,SOUTHLAWN RESTAURANT,Florida,558375-0236,Samantha Bass,Florida,546-10-06,No
161,Artesian,Florida,023683-4925,Samantha Bass,Florida,546-10-06,No
228,BACCHUS OF LEBANON,Florida,397549-9173,Samantha Bass,Florida,546-10-06,No
246,Brass Monkey,Florida,704506-9023,Samantha Bass,Florida,546-10-06,No
3,Il Fornaio,New York,698268-4422,Mallory Hughes,New York,221-42-06,No
8,Blue Tattoo,New York,768883-3750,Mallory Hughes,New York,221-42-06,Yes
78,Monsieur Antoine,New York,522107-1714,Mallory Hughes,New York,221-42-06,No
106,SALA THAI ,New York,339365-4516,Mallory Hughes,New York,221-42-06,No
146,CRISTINA'S ITALIAN RISTORANTE,New York,944800-8871,Mallory Hughes,New York,221-42-06,No
6,PINEY BRANCH PUB,Minnesota,574707-0877,Zane Hurst,Minnesota,329-05-08,No
18,BECLAWS,Minnesota,269500-5799,Zane Hurst,Minnesota,329-05-08,Yes
157,TARA THAI RESTAURANT,Minnesota,033029-0636,Zane Hurst,Minnesota,329-05-08,Yes
183,EVA LOUNGE,Minnesota,243206-3382,Zane Hurst,Minnesota,329-05-08,Yes
212,EL SOL SALVADOREAN & MEXICAN REST.,Minnesota,519829-9801,Zane Hurst,Minnesota,329-05-08,Yes
11,BROOKVILLE EATERY,Georgia,405616-0742,Ignacia Garrett,Georgia,652-67-04,No
25,Britannia Arms,Georgia,033266-5462,Ignacia Garrett,Georgia,652-67-04,Yes
129,SAFEWAY,Georgia,076279-9393,Ignacia Garrett,Georgia,652-67-04,Yes
130,Anderdog,Georgia,426308-0014,Ignacia Garrett,Georgia,652-67-04,No
140,MAPLE BEER AND WINE,Georgia,624171-7682,Ignacia Garrett,Georgia,652-67-04,No
176,PETER'S GRILL,Georgia,567033-1627,Ignacia Garrett,Georgia,652-67-04,No
181,MIX BAR & GRILL,Georgia,167553-1543,Ignacia Garrett,Georgia,652-67-04,Yes
225,Hedley Club,Georgia,627764-8355,Ignacia Garrett,Georgia,652-67-04,No
