BillID,Time,Date,SSN,License
46,12:05:39,2017-03-30,708-55-04,417478-9703
47,6:37:15,2015-09-03,359-18-03,417478-9703
48,16:11:48,2015-12-09,774-24-01,417478-9703
49,12:19:44,2017-11-29,317-61-07,417478-9703
50,14:32:12,2015-07-20,569-59-09,417478-9703
51,15:31:59,2016-08-29,081-58-08,417478-9703
52,8:58:52,2017-10-04,535-98-04,417478-9703
53,10:24:39,2015-03-20,572-27-07,417478-9703
54,15:03:27,2015-02-26,284-66-08,417478-9703
55,11:45:24,2018-05-23,366-90-01,417478-9703
56,19:30:10,2015-09-29,774-24-01,417478-9703
57,18:59:45,2015-11-18,721-53-04,417478-9703
58,10:15:15,2017-01-31,569-59-09,417478-9703
59,14:44:10,2016-02-24,051-50-01,417478-9703
60,19:48:47,2015-12-28,820-07-08,417478-9703
61,4:44:52,2016-06-29,796-11-03,417478-9703
62,19:24:46,2015-01-12,691-10-00,417478-9703
63,13:19:28,2016-04-08,533-61-05,417478-9703
64,4:05:12,2016-03-25,577-59-02,417478-9703
65,8:31:46,2018-09-12,086-24-03,417478-9703
66,6:01:24,2018-09-11,366-90-01,417478-9703
67,14:33:20,2016-01-19,606-66-08,417478-9703
68,13:30:09,2018-10-19,820-07-08,417478-9703
69,5:51:58,2018-11-12,051-50-01,417478-9703
70,19:17:05,2018-05-01,036-59-00,417478-9703
71,10:52:02,2017-03-10,284-66-08,417478-9703
72,7:53:43,2018-06-07,760-57-09,417478-9703
73,8:24:48,2017-02-21,212-28-06,417478-9703
74,4:53:20,2018-06-05,359-18-03,417478-9703
75,17:41:55,2017-03-09,676-41-09,417478-9703
76,8:52:13,2015-09-03,887-07-09,417478-9703
77,4:11:03,2018-06-11,747-73-06,417478-9703
78,5:24:10,2017-01-26,051-50-01,417478-9703
79,12:21:16,2017-10-25,572-27-07,417478-9703
80,18:03:14,2016-11-02,377-59-04,417478-9703
81,8:01:53,2016-03-01,377-59-04,417478-9703
82,11:11:22,2018-11-30,618-70-04,417478-9703
83,19:38:14,2018-11-23,366-90-01,417478-9703
84,14:09:33,2016-11-16,074-14-00,417478-9703
85,10:42:27,2016-09-02,355-59-01,417478-9703
86,12:45:21,2017-05-09,569-59-09,417478-9703
87,6:35:13,2017-02-17,873-69-00,417478-9703
88,3:22:43,2016-01-13,137-39-02,417478-9703
89,6:55:32,2017-09-04,049-71-05,417478-9703
90,19:18:58,2017-07-21,355-59-01,417478-9703
91,12:12:34,2017-01-06,294-05-00,417478-9703
92,13:09:40,2017-01-09,051-50-01,417478-9703
93,7:15:22,2017-09-18,878-86-03,417478-9703
94,7:00:21,2017-12-11,871-45-06,417478-9703
95,17:28:06,2017-10-04,395-17-07,122581-2526
96,20:03:00,2015-10-12,173-88-01,122581-2526
97,6:02:05,2016-11-29,374-65-02,122581-2526
98,21:09:23,2017-11-16,175-17-02,122581-2526
99,15:33:37,2017-05-25,395-17-07,122581-2526
100,7:39:00,2018-08-31,721-35-05,122581-2526
101,12:08:31,2015-05-18,763-51-09,122581-2526
102,13:48:29,2016-02-23,763-51-09,122581-2526
103,4:27:19,2018-08-23,132-85-07,122581-2526
104,16:21:56,2018-01-23,237-04-07,122581-2526
105,10:38:28,2015-10-05,209-35-04,122581-2526
106,18:30:01,2016-02-22,269-48-04,122581-2526
107,14:07:48,2015-07-29,175-17-02,122581-2526
108,9:37:14,2015-03-23,174-01-09,122581-2526
109,5:47:43,2016-11-07,207-94-03,122581-2526
110,17:00:31,2015-09-04,324-50-06,122581-2526
111,14:11:38,2015-10-20,653-69-08,122581-2526
112,14:39:04,2017-05-31,254-64-05,122581-2526
113,10:08:49,2018-05-17,428-31-05,122581-2526
114,18:34:19,2016-06-10,670-33-06,122581-2526
115,13:07:34,2016-09-27,875-74-00,122581-2526
116,8:04:42,2017-04-28,678-54-01,122581-2526
117,8:52:03,2018-01-12,706-27-05,122581-2526
118,13:47:31,2018-06-28,207-94-03,122581-2526
119,2:59:59,2017-04-14,237-04-07,122581-2526
120,6:57:54,2018-06-27,202-58-05,122581-2526
121,15:08:19,2016-01-04,392-72-07,122581-2526
122,21:25:51,2016-10-10,238-17-02,122581-2526
123,12:29:59,2018-07-17,653-69-08,122581-2526
124,7:43:36,2015-02-17,529-37-05,122581-2526
125,9:59:58,2015-07-28,165-68-01,122581-2526
126,7:06:24,2017-09-19,799-38-05,122581-2526
127,16:51:13,2018-04-20,675-68-06,122581-2526
128,15:11:50,2016-11-07,769-91-09,122581-2526
129,21:12:20,2018-03-26,663-51-08,122581-2526
130,11:45:08,2015-04-28,769-91-09,122581-2526
131,15:01:57,2018-12-07,670-25-09,122581-2526
132,17:39:11,2018-05-18,721-35-05,122581-2526
133,3:11:15,2017-07-17,239-25-00,122581-2526
134,15:17:03,2015-08-10,526-42-02,122581-2526
135,3:05:42,2016-07-28,177-24-08,122581-2526
136,15:47:15,2017-12-18,048-85-03,122581-2526
137,5:29:07,2016-08-08,653-69-08,122581-2526
138,6:59:05,2018-03-05,781-36-09,122581-2526
139,20:10:48,2015-12-25,193-52-01,122581-2526
140,14:04:40,2018-11-06,254-64-05,122581-2526
141,8:59:55,2016-05-27,769-91-09,122581-2526
142,17:06:51,2016-01-21,445-42-00,122581-2526
143,7:56:37,2018-07-10,174-72-04,122581-2526
144,11:08:16,2016-06-03,023-23-00,122581-2526
145,12:29:42,2017-07-06,374-65-02,122581-2526
146,15:48:11,2017-01-19,035-01-01,122581-2526
147,19:02:52,2017-02-27,174-72-04,122581-2526
148,9:39:49,2017-06-07,098-62-09,122581-2526
149,10:27:17,2018-11-21,428-31-05,122581-2526
150,8:17:30,2016-09-07,749-90-03,122581-2526
151,15:05:35,2015-06-17,428-31-05,122581-2526
152,19:27:31,2015-04-15,193-52-01,122581-2526
153,9:51:55,2015-01-08,173-88-01,122581-2526
154,10:42:15,2018-02-08,490-34-02,122581-2526
155,6:03:36,2015-03-30,617-43-02,122581-2526
156,18:37:02,2016-12-29,174-01-09,122581-2526
157,16:17:42,2017-10-27,758-56-01,122581-2526
158,8:17:05,2017-07-26,763-51-09,122581-2526
159,12:29:26,2017-05-19,098-62-09,122581-2526
160,2:44:06,2018-08-23,433-73-09,122581-2526
161,17:38:52,2018-04-20,433-73-09,122581-2526
162,12:45:11,2015-12-10,811-21-00,122581-2526
163,19:22:06,2015-06-15,846-95-04,122581-2526
164,8:11:57,2016-12-12,265-12-02,122581-2526
165,16:32:56,2018-06-21,433-73-09,122581-2526
166,3:54:50,2017-11-06,366-41-03,122581-2526
167,4:03:03,2015-08-03,023-23-00,122581-2526
168,7:13:50,2016-10-06,035-01-01,122581-2526
169,8:05:58,2016-06-17,653-50-08,122581-2526
170,8:42:48,2015-08-24,860-14-02,122581-2526
171,20:49:09,2015-12-16,466-20-03,122581-2526
172,19:03:54,2018-03-08,670-25-09,122581-2526
173,18:54:33,2018-10-04,611-09-05,122581-2526
174,6:13:48,2018-04-20,344-86-09,122581-2526
175,18:11:59,2017-06-07,361-50-04,122581-2526
176,9:44:47,2017-10-05,366-41-03,122581-2526
177,14:19:35,2017-04-25,174-72-04,122581-2526
178,7:44:59,2017-08-15,806-32-08,698268-4422
179,6:34:47,2017-10-05,802-49-06,698268-4422
180,6:02:53,2017-01-20,722-79-01,698268-4422
181,13:24:49,2016-05-11,045-40-01,698268-4422
182,5:30:32,2016-04-27,251-63-09,698268-4422
183,8:57:28,2016-09-29,660-78-05,698268-4422
184,17:14:17,2016-11-02,242-85-02,698268-4422
185,5:34:18,2018-04-25,606-25-01,698268-4422
186,14:02:19,2016-04-14,047-78-03,698268-4422
187,17:09:17,2018-11-30,748-90-03,698268-4422
188,6:35:32,2018-12-14,489-55-04,698268-4422
189,1:34:40,2016-05-16,588-45-04,698268-4422
190,16:26:48,2017-05-12,475-25-07,698268-4422
191,10:14:53,2016-06-07,620-02-06,698268-4422
192,3:24:55,2015-01-30,802-49-06,698268-4422
193,14:06:47,2015-02-17,620-02-06,698268-4422
194,16:53:50,2017-12-29,103-78-04,698268-4422
195,17:52:34,2015-06-08,676-17-03,698268-4422
196,4:03:52,2016-04-18,221-42-06,698268-4422
197,1:03:54,2015-04-23,475-25-07,698268-4422
198,6:16:54,2017-04-03,806-32-08,698268-4422
199,5:37:26,2016-03-08,230-30-05,698268-4422
200,3:53:25,2016-01-27,537-32-04,698268-4422
201,8:48:02,2018-01-31,305-53-03,698268-4422
202,16:01:06,2017-10-17,008-02-04,698268-4422
203,16:33:49,2015-08-28,810-07-01,698268-4422
204,14:41:05,2017-05-11,556-18-05,698268-4422
205,9:56:38,2016-09-19,251-63-09,698268-4422
206,14:37:07,2018-02-19,142-10-00,698268-4422
207,12:09:40,2015-05-06,885-24-09,698268-4422
208,14:22:04,2018-12-19,734-36-00,698268-4422
209,13:49:36,2015-07-06,760-10-06,698268-4422
210,4:27:47,2015-06-19,230-30-05,698268-4422
211,15:05:53,2015-07-02,338-20-08,698268-4422
212,3:54:44,2018-08-16,103-78-04,698268-4422
213,17:43:05,2015-03-06,751-69-04,698268-4422
214,18:05:00,2018-03-05,416-11-03,698268-4422
215,10:17:38,2017-03-20,802-49-06,698268-4422
216,2:08:48,2017-08-03,055-57-05,698268-4422
217,6:13:15,2015-05-22,588-45-04,698268-4422
218,5:52:10,2015-06-03,439-51-01,698268-4422
219,2:10:34,2018-10-03,221-42-06,698268-4422
220,16:40:03,2017-05-03,484-02-04,698268-4422
221,3:46:07,2015-12-16,810-07-01,698268-4422
222,17:14:59,2018-07-02,246-84-04,698268-4422
223,4:38:46,2015-02-23,167-33-02,698268-4422
224,3:19:01,2015-06-30,167-33-02,698268-4422
225,5:13:12,2016-07-29,439-51-01,698268-4422
226,14:45:40,2017-07-12,376-18-09,698268-4422
227,4:30:56,2017-07-25,416-11-03,698268-4422
228,15:31:22,2018-10-08,443-52-00,698268-4422
229,11:59:56,2017-06-21,049-10-02,698268-4422
230,9:42:55,2015-05-05,689-09-07,698268-4422
231,17:10:28,2017-11-02,055-57-05,698268-4422
232,7:03:18,2018-02-16,338-20-08,698268-4422
233,12:19:35,2016-05-03,421-51-07,698268-4422
234,14:01:00,2016-11-30,821-24-00,698268-4422
235,18:34:52,2017-06-13,065-77-03,698268-4422
236,6:23:27,2015-03-05,596-55-02,698268-4422
237,17:47:48,2018-11-12,302-02-09,698268-4422
238,2:09:31,2017-03-02,810-07-01,698268-4422
239,16:39:37,2016-02-05,802-49-06,698268-4422
240,16:15:38,2015-05-26,302-02-09,698268-4422
241,5:58:33,2015-10-13,580-90-06,698268-4422
242,1:34:07,2016-08-31,840-26-06,698268-4422
243,14:11:26,2016-12-21,062-95-08,698268-4422
244,12:16:10,2016-04-27,230-30-05,698268-4422
245,4:35:40,2018-08-02,248-77-09,698268-4422
246,18:42:55,2016-03-07,049-10-02,698268-4422
247,12:26:24,2018-05-23,484-02-04,698268-4422
248,18:37:05,2016-08-09,248-77-09,698268-4422
249,15:54:52,2018-08-14,684-71-01,698268-4422
250,11:09:13,2016-01-18,338-20-08,698268-4422
251,17:48:46,2015-07-21,806-32-08,698268-4422
252,13:57:22,2016-03-16,455-60-02,698268-4422
253,8:35:49,2016-11-24,537-32-04,698268-4422
254,4:25:49,2018-10-26,734-36-00,698268-4422
255,9:49:20,2015-05-22,242-85-02,698268-4422
256,16:56:18,2016-03-08,065-77-03,698268-4422
257,5:39:09,2016-12-01,701-05-08,698268-4422
258,15:11:33,2018-01-17,376-18-09,698268-4422
259,10:00:03,2017-07-26,340-89-03,698268-4422
260,10:45:13,2017-02-08,537-32-04,698268-4422
261,13:44:30,2016-05-16,090-47-08,698268-4422
262,6:11:35,2016-08-11,484-02-04,698268-4422
263,7:57:19,2018-04-25,748-90-03,698268-4422
264,3:04:23,2015-09-10,489-55-04,698268-4422
265,14:44:07,2015-02-09,305-53-03,698268-4422
266,17:37:51,2017-12-20,206-21-01,698268-4422
267,11:11:41,2016-12-13,206-21-01,698268-4422
268,2:53:53,2015-02-05,242-85-02,698268-4422
269,18:40:18,2017-12-13,103-78-04,698268-4422
270,5:29:44,2017-06-09,580-90-06,698268-4422
271,6:26:53,2017-07-10,885-24-09,698268-4422
272,9:59:36,2018-05-22,421-51-07,698268-4422
273,16:26:45,2015-12-31,637-14-01,698268-4422
274,17:15:40,2016-04-18,620-02-06,698268-4422
275,6:04:00,2016-09-20,474-54-07,802054-2166
276,10:05:26,2015-10-26,390-68-06,802054-2166
277,10:17:45,2018-05-15,402-93-07,802054-2166
278,5:10:08,2015-01-28,237-84-08,802054-2166
279,6:20:07,2018-06-12,776-84-08,802054-2166
280,8:45:03,2016-09-02,736-27-09,802054-2166
281,12:47:21,2017-02-17,359-87-07,802054-2166
282,9:32:34,2015-02-26,063-41-04,802054-2166
283,11:54:26,2018-05-04,786-49-06,802054-2166
284,14:29:03,2016-09-09,121-97-06,802054-2166
285,15:09:44,2017-06-12,865-97-07,802054-2166
286,12:52:43,2016-04-26,029-46-05,802054-2166
287,11:19:35,2015-07-28,646-19-04,802054-2166
288,13:16:21,2016-02-08,696-11-07,802054-2166
289,14:43:18,2016-10-13,768-28-07,802054-2166
290,5:25:47,2015-02-03,342-41-07,802054-2166
291,6:39:31,2017-03-24,683-03-06,802054-2166
292,8:04:03,2015-02-25,808-64-00,802054-2166
293,7:58:37,2017-08-22,696-11-07,802054-2166
294,12:22:08,2016-07-01,441-51-04,802054-2166
295,7:06:10,2015-10-13,736-27-09,802054-2166
296,11:04:12,2018-11-01,820-06-06,802054-2166
297,11:39:13,2017-01-20,861-85-06,802054-2166
298,15:43:12,2018-03-21,617-77-04,802054-2166
299,6:34:09,2017-09-27,631-30-02,802054-2166
300,14:28:55,2017-10-05,604-05-04,802054-2166
301,13:51:07,2016-05-11,568-26-01,802054-2166
302,13:55:37,2017-01-31,342-41-07,802054-2166
303,12:51:25,2017-05-11,865-97-07,802054-2166
304,5:40:38,2015-06-08,321-37-05,802054-2166
305,14:02:44,2016-03-23,739-37-05,802054-2166
306,6:49:52,2016-09-28,293-28-09,802054-2166
307,12:52:03,2017-09-08,543-93-07,802054-2166
308,16:49:30,2017-06-29,684-05-03,802054-2166
309,8:33:23,2017-08-31,209-06-07,802054-2166
310,8:53:37,2015-06-18,258-28-08,802054-2166
311,16:27:49,2016-07-01,234-17-01,802054-2166
312,15:56:17,2015-01-01,635-50-09,802054-2166
313,5:46:33,2016-03-11,543-93-07,802054-2166
314,5:08:46,2015-01-15,858-90-06,802054-2166
315,7:37:50,2017-08-15,359-87-07,802054-2166
316,13:53:01,2015-02-23,063-41-04,802054-2166
317,12:08:58,2015-03-09,441-51-04,802054-2166
318,13:15:54,2015-08-03,534-41-09,802054-2166
319,9:37:05,2016-11-17,132-29-04,802054-2166
320,6:11:52,2016-07-01,095-29-09,802054-2166
321,10:01:39,2016-04-26,795-36-00,802054-2166
322,13:05:10,2016-06-17,079-29-07,802054-2166
323,6:37:18,2017-09-15,198-94-00,802054-2166
324,7:20:21,2015-12-02,079-29-07,802054-2166
325,11:13:20,2015-01-14,736-27-09,802054-2166
326,7:22:48,2015-06-01,414-50-02,802054-2166
327,8:59:16,2017-08-02,214-19-07,802054-2166
328,14:12:50,2016-04-06,820-06-06,802054-2166
329,6:46:40,2017-08-14,631-30-02,802054-2166
330,10:28:22,2016-06-16,172-09-09,802054-2166
331,14:37:20,2018-09-19,545-15-05,802054-2166
332,14:24:22,2016-02-05,217-38-03,802054-2166
333,12:16:04,2016-06-17,644-23-05,802054-2166
334,12:31:29,2016-12-13,214-19-07,802054-2166
335,15:29:05,2018-12-19,429-80-04,802054-2166
336,10:00:42,2016-10-27,696-11-07,802054-2166
337,11:35:23,2018-06-01,293-28-09,802054-2166
338,6:06:34,2015-07-03,359-87-07,802054-2166
339,16:16:38,2015-03-04,079-29-07,802054-2166
340,15:12:47,2016-07-26,258-28-08,802054-2166
341,13:57:13,2015-01-06,054-95-01,802054-2166
342,9:13:24,2018-11-27,123-09-04,802054-2166
343,8:25:21,2015-08-03,315-68-07,802054-2166
344,5:25:58,2015-07-03,708-41-04,802054-2166
345,7:37:36,2017-07-04,402-93-07,802054-2166
346,15:48:53,2016-08-02,899-82-00,802054-2166
347,11:25:27,2018-08-27,340-35-00,802054-2166
348,6:16:03,2018-11-06,679-64-07,802054-2166
349,16:54:28,2016-07-20,076-82-06,802054-2166
350,7:11:24,2016-05-19,776-61-03,802054-2166
351,8:08:45,2015-08-11,076-82-06,802054-2166
352,14:38:46,2018-07-19,557-33-00,802054-2166
353,6:09:50,2016-10-25,402-93-07,802054-2166
354,12:13:25,2017-08-02,808-64-00,802054-2166
355,13:18:54,2016-06-17,123-09-04,802054-2166
356,16:15:29,2017-07-05,340-35-00,802054-2166
357,9:52:55,2016-10-20,340-35-00,802054-2166
358,13:37:14,2018-11-22,380-68-02,802054-2166
359,10:59:51,2015-10-02,557-33-00,802054-2166
360,11:03:48,2018-10-29,390-68-06,802054-2166
361,9:53:37,2016-10-11,820-06-06,802054-2166
362,11:37:44,2017-09-20,807-82-04,802054-2166
363,8:10:01,2018-04-26,338-83-03,802054-2166
364,5:52:57,2018-08-15,295-64-06,802054-2166
365,5:12:32,2017-02-10,389-07-01,802054-2166
366,13:01:25,2016-01-18,237-84-08,802054-2166
367,7:23:02,2017-10-24,807-82-04,802054-2166
368,17:01:43,2017-03-08,510-68-06,759258-8235
369,3:08:44,2017-11-24,895-70-09,759258-8235
370,9:37:48,2016-07-05,751-14-09,759258-8235
371,6:49:34,2015-06-26,720-50-07,759258-8235
372,17:19:06,2016-08-18,150-92-01,759258-8235
373,13:56:27,2017-09-01,850-93-06,759258-8235
374,8:13:11,2017-03-13,101-32-05,759258-8235
375,2:08:51,2017-03-09,119-88-02,759258-8235
376,7:58:17,2018-06-19,712-44-01,759258-8235
377,4:49:22,2017-04-27,263-98-07,759258-8235
378,7:54:50,2017-06-20,720-50-07,759258-8235
379,14:53:09,2015-03-24,345-06-02,759258-8235
380,17:16:49,2015-07-31,588-98-07,759258-8235
381,2:50:22,2015-06-17,807-55-08,759258-8235
382,7:02:22,2015-11-26,028-63-03,759258-8235
383,2:59:20,2018-07-17,316-39-03,759258-8235
384,8:50:19,2018-04-20,528-79-08,759258-8235
385,7:26:50,2017-11-23,151-48-04,759258-8235
386,15:22:03,2015-03-23,242-05-06,759258-8235
387,5:47:25,2017-11-09,418-71-00,759258-8235
388,5:47:33,2015-02-09,735-73-03,759258-8235
389,13:33:23,2018-02-26,745-47-00,759258-8235
390,7:13:46,2018-04-06,054-61-05,759258-8235
391,10:13:32,2018-06-27,345-06-02,759258-8235
392,6:15:03,2015-03-10,641-36-08,759258-8235
393,17:34:44,2016-02-04,527-25-01,759258-8235
394,10:00:26,2018-11-08,720-50-07,759258-8235
395,7:15:38,2018-05-21,123-18-01,759258-8235
396,14:00:00,2016-03-14,319-71-02,759258-8235
397,8:36:02,2018-04-27,887-75-01,759258-8235
398,7:23:28,2017-05-31,745-47-00,759258-8235
399,3:44:43,2016-05-02,711-69-04,759258-8235
400,6:10:37,2016-10-07,704-46-00,759258-8235
401,12:24:25,2015-07-02,569-36-03,759258-8235
402,8:10:50,2015-12-16,712-44-01,759258-8235
403,13:15:25,2018-08-08,780-82-05,759258-8235
404,2:55:22,2018-06-15,236-61-07,759258-8235
405,14:44:12,2016-03-30,587-27-07,759258-8235
406,17:25:04,2017-04-19,005-19-03,759258-8235
407,18:40:21,2017-04-28,431-66-04,759258-8235
408,5:25:05,2017-09-13,569-36-03,759258-8235
409,2:07:27,2018-11-28,720-50-07,759258-8235
410,20:18:43,2018-11-22,642-80-04,759258-8235
411,18:23:12,2016-02-03,809-57-07,759258-8235
412,9:53:14,2017-02-22,740-15-04,759258-8235
413,16:28:19,2018-01-04,662-16-06,759258-8235
414,5:49:03,2017-09-08,456-91-03,759258-8235
415,4:06:23,2018-01-26,720-54-06,759258-8235
416,12:01:31,2017-10-24,854-50-07,759258-8235
417,10:26:28,2015-03-12,431-66-04,759258-8235
418,2:03:44,2017-05-09,740-15-04,759258-8235
419,18:22:47,2016-03-28,303-27-06,759258-8235
420,14:36:43,2017-12-08,587-27-07,759258-8235
421,4:55:53,2016-09-13,119-88-02,759258-8235
422,5:03:46,2017-04-24,303-27-06,759258-8235
423,6:51:37,2018-04-27,431-66-04,759258-8235
424,15:47:26,2018-10-31,704-46-00,759258-8235
425,16:59:42,2016-10-25,613-05-08,759258-8235
426,5:58:08,2016-05-06,199-16-03,759258-8235
427,7:31:37,2018-05-14,527-36-04,759258-8235
428,15:33:16,2016-09-05,708-67-03,759258-8235
429,6:16:45,2016-10-19,794-87-09,759258-8235
430,16:15:02,2016-07-19,626-63-02,759258-8235
431,4:13:22,2016-09-19,121-03-09,759258-8235
432,5:05:33,2017-11-15,740-15-04,759258-8235
433,18:20:23,2015-10-28,619-56-03,759258-8235
434,10:57:30,2018-01-01,332-41-04,759258-8235
435,14:58:08,2015-01-22,510-68-06,759258-8235
436,9:18:30,2017-11-10,123-18-01,759258-8235
437,2:20:53,2016-01-06,316-39-03,759258-8235
438,16:27:51,2016-09-19,879-70-02,759258-8235
439,3:43:22,2016-10-06,854-50-07,759258-8235
440,15:07:24,2018-04-09,587-27-07,759258-8235
441,8:39:58,2018-02-09,712-44-01,759258-8235
442,19:43:58,2016-01-18,642-63-05,759258-8235
443,4:55:16,2015-07-23,487-55-01,759258-8235
444,6:57:30,2017-06-26,754-34-04,759258-8235
445,7:06:32,2018-02-02,818-27-08,759258-8235
446,16:53:00,2018-12-12,151-48-04,759258-8235
447,17:28:52,2015-01-05,263-98-07,759258-8235
448,9:17:44,2016-05-30,619-56-03,759258-8235
449,13:13:13,2017-05-10,536-57-00,759258-8235
450,16:53:16,2018-02-16,750-19-02,759258-8235
451,15:16:30,2018-10-15,711-69-04,759258-8235
452,8:04:09,2018-10-30,104-54-01,574707-0877
453,8:48:57,2018-07-02,873-65-01,574707-0877
454,3:44:55,2016-06-06,286-77-04,574707-0877
455,18:12:51,2015-02-26,132-85-08,574707-0877
456,10:23:39,2018-07-30,022-72-07,574707-0877
457,15:54:44,2018-10-09,122-12-03,574707-0877
458,12:50:09,2017-12-15,727-23-06,574707-0877
459,6:08:55,2016-12-20,265-90-01,574707-0877
460,5:29:20,2017-10-17,755-65-01,574707-0877
461,12:02:20,2016-08-23,177-24-07,574707-0877
462,7:06:07,2018-02-07,492-47-00,574707-0877
463,4:26:43,2017-02-09,427-95-08,574707-0877
464,13:01:54,2017-03-27,745-02-05,574707-0877
465,8:20:11,2015-07-07,560-32-02,574707-0877
466,12:03:11,2018-10-03,560-32-02,574707-0877
467,15:16:50,2016-10-25,164-30-01,574707-0877
468,17:48:47,2016-09-14,568-24-05,574707-0877
469,12:40:13,2018-09-11,755-65-01,574707-0877
470,10:42:04,2018-05-02,005-66-09,574707-0877
471,13:25:57,2017-08-24,070-10-06,574707-0877
472,5:21:55,2017-06-29,270-05-08,574707-0877
473,16:52:34,2017-09-07,633-97-09,574707-0877
474,13:54:28,2018-03-08,319-14-02,574707-0877
475,19:50:08,2017-11-21,149-81-09,574707-0877
476,5:07:27,2015-05-06,878-57-07,574707-0877
477,19:02:52,2017-07-14,741-20-04,574707-0877
478,11:10:19,2017-07-12,687-61-03,574707-0877
479,13:25:01,2015-11-19,692-89-01,574707-0877
480,11:04:16,2016-05-30,545-77-06,574707-0877
481,9:50:39,2018-12-26,286-77-04,574707-0877
482,6:52:33,2017-03-16,306-18-08,574707-0877
483,14:49:48,2015-12-10,236-71-05,574707-0877
484,11:25:25,2018-05-07,398-94-02,574707-0877
485,7:00:54,2016-02-01,687-61-03,574707-0877
486,18:26:05,2016-02-15,286-77-04,574707-0877
487,13:20:38,2017-02-22,345-51-00,574707-0877
488,18:06:54,2017-01-04,812-41-09,574707-0877
489,13:15:03,2017-03-22,721-39-07,574707-0877
490,5:43:36,2015-07-01,329-05-08,574707-0877
491,18:02:02,2018-09-13,265-90-01,574707-0877
492,10:02:13,2015-03-02,395-90-03,574707-0877
493,6:08:49,2018-06-12,361-03-04,574707-0877
494,11:19:31,2017-05-19,144-54-04,574707-0877
495,5:02:34,2018-08-14,687-61-03,574707-0877
496,4:51:11,2018-08-20,427-95-08,574707-0877
497,17:11:24,2017-04-07,671-15-05,574707-0877
498,3:40:18,2015-09-28,834-10-04,574707-0877
499,5:29:50,2015-09-04,221-57-07,574707-0877
500,4:49:05,2015-11-13,636-58-04,574707-0877
501,17:25:36,2015-01-29,664-71-05,574707-0877
502,18:03:25,2016-05-26,462-50-06,574707-0877
503,15:14:57,2015-10-01,011-20-07,574707-0877
504,3:35:04,2015-05-21,270-05-08,574707-0877
505,6:46:08,2016-04-20,138-13-00,574707-0877
506,8:23:57,2016-09-26,781-70-08,574707-0877
507,8:06:57,2018-10-08,427-95-08,574707-0877
508,15:05:17,2017-05-22,313-54-06,574707-0877
509,20:54:35,2016-12-20,183-22-03,574707-0877
510,14:32:22,2015-12-17,057-46-07,574707-0877
511,3:15:28,2015-06-10,452-48-01,574707-0877
512,6:54:58,2017-12-21,149-81-09,574707-0877
513,10:58:08,2016-03-30,712-34-08,574707-0877
514,5:52:31,2018-10-04,345-51-00,574707-0877
515,19:08:19,2016-11-15,095-56-00,574707-0877
516,6:42:51,2015-04-23,849-91-06,574707-0877
517,12:52:20,2015-06-23,807-89-02,574707-0877
