Name,SSN,Bar,License
"Acton Horn",129-74-07,"LA MADELEINE",027174-2033
"Acton Middleton",715-30-09,"John Donne Pub",575493-8545
"Acton Park",539-94-00,"STAINED GLASS PUB",033215-5373
"Acton Park",539-94-00,"CLUB 175",843001-5555
"Adam Austin",647-56-03,"L'Avant Comptoir de la Mer",972787-2484
"Adam Austin",647-56-03,"DOCK OF THE BAY",835167-6583
"Adam Austin",647-56-03,"CRISFIELD SEAFOOD RESTAURANT",195256-6840
"Adam Austin",647-56-03,"LA MADELEINE",027174-2033
"Adam Cherry",315-87-04,"STAINED GLASS PUB",033215-5373
"Adam Cherry",315-87-04,"The Wigmore",785196-5934
"Adam Cherry",315-87-04,"THELO GREEK GRILL",577421-5163
"Adam Roach",802-49-06,"Il Fornaio",698268-4422
"Adam Roach",802-49-06,"Blue Tattoo",768883-3750
"Adam Roach",802-49-06,"Monsieur Antoine",522107-1714
"Adam Roach",802-49-06,"SALA THAI ",339365-4516
"Adam Stark",011-22-05,"A.P. Stump's",MA12347
"Adam Stark",011-22-05,"SIU'S ASIAN BISTRO",647562-0404
"Adara Brown",558-80-04,"Pivbar Kolomenskoye",365700-4523
"Adara Brown",558-80-04,"NEW VILLAGE RESTAURANT",034706-7472
"Adara Kidd",746-93-02,"BOCA BOTANA'S",633641-0946
"Adara Kidd",746-93-02,"KOREAN KORNER",252115-9828
"Adara Terrell",047-20-05,SAMANTHA'S,065321-9717
"Adara Terrell",047-20-05,"Bar Hemingway",573547-0154
"Adara Terrell",047-20-05,"NEWS EXPRESS",615857-5438
"Addison Boyer",225-88-06,"Long Bar",395573-9457
"Addison Flynn",379-70-00,"KWIK BAR & GRILL",343655-3428
"Addison Flynn",379-70-00,"WORLD OF BEER",749156-9476
"Addison Good",537-47-02,"LOCK 72 KITCHEN & BAR",797572-9430
"Addison Good",537-47-02,"OLD TOWN POUR HOUSE",722716-4519
"Addison Guzman",360-40-00,"TRATTORIA SORRENTO",692127-6439
"Addison Guzman",360-40-00,Respublika,457966-5128
"Addison Guzman",360-40-00,"Tavern U Okolitsy",302168-0412
"Addison Guzman",360-40-00,"TAIPEI CAFE",083408-0624
"Addison Guzman",360-40-00,"Long Bar",395573-9457
"Addison Leblanc",686-58-09,"SPRING BEER HOUSE",556027-9498
"Addison Leblanc",686-58-09,Bruxelles,935080-2824
"Addison Leblanc",686-58-09,"TAKOMA PARK PUB",562552-4672
"Addison Leblanc",686-58-09,"SEOULFOOD DC",328119-7933
"Addison Sparks",056-69-02,"ALL SET",604478-1638
"Addison Sparks",056-69-02,"Lord John Russell Pub",804154-3375
"Addison Trujillo",625-37-04,Budvar,826130-4276
"Addison Trujillo",625-37-04,"ARMAND'S PIZZERIA & GRILLE",506492-2536
"Addison Trujillo",625-37-04,"St. James Tavern",454665-2704
"Adele Mccray",588-36-07,"STAINED GLASS PUB",033215-5373
"Adele Mccray",588-36-07,"The Wigmore",785196-5934
"Adele Mccray",588-36-07,"THELO GREEK GRILL",577421-5163
"Adele Mccray",588-36-07,"CLUB 175",843001-5555
"Adele Tillman",664-02-06,"Le Mary Céleste",498082-1021
"Adele Tillman",664-02-06,"SOL AZTECA RESTAURANT",844222-4211
"Adele Tillman",664-02-06,"AJI-NIPPON RESTAURANT",102739-1075
"Adena Stevenson",824-38-02,"AJI-NIPPON RESTAURANT",102739-1075
"Adena Winters",045-50-01,Anderdog,426308-0014
"Adena Winters",045-50-01,"PETER'S GRILL",567033-1627
"Adena Winters",045-50-01,"MIX BAR & GRILL",167553-1543
"Adena Winters",045-50-01,"Hedley Club",627764-8355
"Adria Roberson",119-24-07,"La Commune",273086-1339
"Adria Roberson",119-24-07,"La Fontaine de Belleville",035952-6936
"Adrian Berger",170-25-06,"BARKING MAD CAFE",173337-7970
"Adrian Berger",170-25-06,"La Fontaine de Belleville",035952-6936
"Adrian Cervantes",804-27-01,"La Fine Mousse",234798-4284
"Adrian Cervantes",804-27-01,"Connolly Station",638134-8991
"Adrian Cervantes",804-27-01,"Ulysses Pub",603310-5963
"Adrian Cervantes",804-27-01,"Kings Stores",905752-1115
"Adrian Fletcher",214-21-04,"The Backbeat",845635-3971
"Adrian Fletcher",214-21-04,"EL MARIACHI",107629-9856
"Adrian Fletcher",214-21-04,"DAD'S BEER ",987820-7241
"Adrian Fletcher",214-21-04,"OUTTA THE WAY CAFE",993879-6407
"Adrian Hartman",851-73-05,Porosello,775033-0743
"Adrian Hartman",851-73-05,"Satan's Whiskers",786366-9730
"Adrian Hartman",851-73-05,"Beaufort Bar",934943-7856
"Adrian Hartman",851-73-05,"HOT POT LEGEND",268449-3063
"Adrian Mcmillan",172-37-06,SAMANTHA'S,065321-9717
"Adrian Mcmillan",172-37-06,"Bar Hemingway",573547-0154
"Adrian Mcmillan",172-37-06,"The Bloomsbury Club Bar",032912-1156
"Adrian Richards",473-59-04,"UNPLUGGED SPORT BAR & RESTAURA",703500-7595
"Adrian Richards",473-59-04,"CHAPALA RESTAURANT",659157-0376
"Adrian Richards",473-59-04,"LONGHORN STEAKHOUSE",039890-9002
"Adrian Singleton",177-24-08,"Purple Bar at Sanderson",016922-4284
"Adrienne Berry",073-86-08,"CRISFIELD SEAFOOD RESTAURANT",195256-6840
"Adrienne Carlson",414-45-06,"PASSION FISH",994587-9188
"Adrienne Carlson",414-45-06,"CHEESESTEAK MIKE'S",214195-2529
"Adrienne Salazar",593-43-05,"COUNTRY BOY CLUB",565494-6333
"Adrienne Salazar",593-43-05,SAMANTHA'S,065321-9717
"Adrienne Salazar",593-43-05,"The Bloomsbury Club Bar",032912-1156
"Ahmed Frederick",313-54-06,"PINEY BRANCH PUB",574707-0877
"Ahmed Frederick",313-54-06,"TARA THAI RESTAURANT",033029-0636
"Ahmed Frederick",313-54-06,"EVA LOUNGE",243206-3382
"Ahmed Warren",810-08-09,"PERUVIAN COUNTRY CHICKEN & BEE",443434-1709
"Ahmed Warren",810-08-09,SHANGRI'LA,392381-3350
"Ahmed Warren",810-08-09,Eulipia,836692-8532
"Aidan Sparks",176-97-04,"DOCK OF THE BAY",835167-6583
"Aidan Sparks",176-97-04,"METRO CLUB",289884-2378
"Aidan Sparks",176-97-04,"LA MADELEINE",027174-2033
"Aidan Stein",826-08-06,"A.P. Stump's",MA12347
"Aidan Stein",826-08-06,"SIU'S ASIAN BISTRO",647562-0404
"Aidan Stein",826-08-06,"ATTMAN'S BAR & GRILL",548813-2340
"Aidan Terry",721-65-00,"PASSION FISH",994587-9188
"Aidan Terry",721-65-00,Candelaria,645845-0472
"Aiko Baird",497-48-04,"COUNTRY BOY CLUB",565494-6333
"Aiko Baird",497-48-04,"NEWS EXPRESS",615857-5438
"Aiko Baird",497-48-04,"The Bloomsbury Club Bar",032912-1156
"Aiko Crane",267-27-00,"The Lounge",557061-3801
"Aiko Crane",267-27-00,"YEKTA KABOBI",018125-2537
"Aiko Crane",267-27-00,"EL PATIO",266006-4748
"Aiko Crane",267-27-00,"TOKYO SUSHI",963932-2784
"Aiko Crane",267-27-00,"BENIHANA OF TOKYO",746233-3159
"Aiko Crane",267-27-00,"AMALFI RISTORANTE",128083-8887
"Aiko Guthrie",511-91-02,"LOS CHORROS RESTAURANT",637478-3600
"Aiko Martinez",627-45-06,"BARKING MAD CAFE",173337-7970
"Aiko Martinez",627-45-06,CANOPY,993738-4536
"Aiko Mathis",647-05-05,Combat,163829-1896
"Aiko Mathis",647-05-05,"Connolly Station",638134-8991
"Aiko Mathis",647-05-05,"Ulysses Pub",603310-5963
"Aiko Mathis",647-05-05,"Kings Stores",905752-1115
"Aileen Garrison",193-97-06,"The Shark and Rose",385233-3057
"Aileen Garrison",193-97-06,"WHEATON WINERY",426942-2970
"Aileen Garrison",193-97-06,"POSITANO RISTORANTE ITALIANO",784026-4704
"Aileen Wilkins",221-52-07,"FINNEGAN'S WAKE IRISH PUB",267320-6500
"Aileen Wilkins",221-52-07,"The Wigmore",785196-5934
"Aileen Wilkins",221-52-07,"THELO GREEK GRILL",577421-5163
"Aileen Wilkins",221-52-07,"CLUB 175",843001-5555
"Aimee Cantu",626-53-08,Budvar,826130-4276
"Aimee Cantu",626-53-08,"St. James Tavern",454665-2704
"Aimee Cantu",626-53-08,"Coconut Willie's Cocktail Loun",103228-2632
"Aimee Carroll",317-09-01,"RED BOWL",707445-3676
"Aimee Carroll",317-09-01,"WATERSHED CAFE",668344-5222
"Aimee Carroll",317-09-01,"The Chandos Arms",072616-5319
"Aimee Olsen",459-33-05,"BARKING MAD CAFE",173337-7970
"Aimee Olsen",459-33-05,"La Commune",273086-1339
"Aimee Olsen",459-33-05,"La Fontaine de Belleville",035952-6936
"Akeem Cabrera",767-75-00,"GOLF ULTRA LOUNGE",008054-3713
"Akeem Cabrera",767-75-00,"FOUR U",436611-7341
"Akeem Dillard",568-11-09,"Podozritelnye Litsa Bar",285412-1965
"Akeem Dillard",568-11-09,"AJI-NIPPON RESTAURANT",102739-1075
"Akeem Downs",863-60-06,"BOCA BOTANA'S",633641-0946
"Akeem Downs",863-60-06,"KOREAN KORNER",252115-9828
"Akeem Downs",863-60-06,"TASTE OF EUROPE",383254-4286
"Akeem Downs",863-60-06,"THAI TASTE",393201-0154
"Akeem Downs",863-60-06,SASUNS,239755-5612
"Akeem Gray",322-44-01,"THE GREENE TURTLE-Az",272426-2650
"Akeem Gray",322-44-01,"CANA BEER & WINE",192695-6895
"Akeem Mcbride",470-55-02,"L'Avant Comptoir de la Mer",972787-2484
"Akeem Mcbride",470-55-02,"DOCK OF THE BAY",835167-6583
"Akeem Mcbride",470-55-02,"CRISFIELD SEAFOOD RESTAURANT",195256-6840
"Akeem Mcbride",470-55-02,"LA MADELEINE",027174-2033
"Akeem Meadows",642-63-05,"Le Syndicat",555889-1650
"Akeem Meadows",642-63-05,"The DrumLeyton",855299-2110
"Akeem Meadows",642-63-05,"MIDDLE EAST CUISINE",682135-2579
"Akeem Neal",892-88-03,"Connolly Station",638134-8991
"Akeem Neal",892-88-03,"Ulysses Pub",603310-5963
"Akeem Neal",892-88-03,"Kings Stores",905752-1115
"Akeem Neal",892-88-03,"LOS COBANOS RESTAURANT",312938-5286
"Aladdin Abbott",674-90-07,"TASTE OF EUROPE",383254-4286
"Aladdin Abbott",674-90-07,"MRS. K'S TOLL HOUSE",204463-2632
"Aladdin Abbott",674-90-07,"THAI TASTE",393201-0154
"Aladdin Case",445-03-06,Budvar,826130-4276
"Aladdin Case",445-03-06,"The Rivoli Bar",726147-6027
"Aladdin Case",445-03-06,"St. James Tavern",454665-2704
"Aladdin Case",445-03-06,"Coconut Willie's Cocktail Loun",103228-2632
"Aladdin Farrell",553-72-04,"SENOR TEQUILA'S",744864-1998
"Aladdin Farrell",553-72-04,"Chez Ammad",195979-2548
"Aladdin Farrell",553-72-04,"PETERS CARRY OUT",825935-7435
"Aladdin Jones",186-41-05,"SEOULFOOD DC",328119-7933
"Aladdin Jones",186-41-05,"Giza Hookah Lounge",309407-2687
"Aladdin Merrill",683-84-09,"Belowzero Ice Bar",679007-3636
"Aladdin Merrill",683-84-09,"RED BOWL",707445-3676
"Aladdin Merrill",683-84-09,"WATERSHED CAFE",668344-5222
"Aladdin Reid",287-21-04,"LA FERME",978070-9847
"Aladdin Reid",287-21-04,"CHICKEN BASKET",392762-0769
"Aladdin Reid",287-21-04,"PINES OF ROME",012827-6557
"Aladdin Wooten",229-02-09,"FOREST GLEN PUB",724454-6920
"Aladdin Wooten",229-02-09,"HOWARD BAR & GRILL",564383-9375
"Aladdin Wooten",229-02-09,"LOS CHORROS RESTAURANT",637478-3600
"Aladdin Wooten",229-02-09,"SANTO POLLO ",348034-4278
"Alan Cherry",795-36-00,"Daly's Wine Bar",686766-4572
"Alan Hardy",806-32-08,"Blue Tattoo",768883-3750
"Alan Hardy",806-32-08,"SALA THAI ",339365-4516
"Alan Shaffer",720-50-07,"Le Syndicat",555889-1650
"Alan Shaffer",720-50-07,"Bar Neon Monkey",829829-6701
"Alan Shaffer",720-50-07,"HOP N GRAPE",197460-5337
"Alan Shaffer",720-50-07,"The DrumLeyton",855299-2110
"Alan Shaffer",720-50-07,"MIDDLE EAST CUISINE",682135-2579
"Alan Slater",645-92-01,"Le Mary Céleste",498082-1021
"Alan Slater",645-92-01,"SOL AZTECA RESTAURANT",844222-4211
"Alana Davis",181-36-06,"KWIK BAR & GRILL",343655-3428
"Alana Davis",181-36-06,"John Bull Pub",936645-6904
"Alana Davis",181-36-06,"The Italian Job",664654-3022
"Alana Mcclure",510-69-02,"PINEY BRANCH PUB",574707-0877
"Alana Mcclure",510-69-02,"EVA LOUNGE",243206-3382
"Alana Mcclure",510-69-02,"EL SOL SALVADOREAN & MEXICAN R",519829-9801
"Alana Riggs",477-76-08,CARAVAN,034340-6674
"Alana Riggs",477-76-08,"CAVA RESTAURANT",727659-2461
"Alana Salazar",582-99-03,"Connolly Station",638134-8991
"Alana Salazar",582-99-03,"Ulysses Pub",603310-5963
"Alana Salazar",582-99-03,"Kings Stores",905752-1115
"Alana Sweet",359-87-07,"BARREL & CROW",938023-9690
"Alana Sweet",359-87-07,"Daly's Wine Bar",686766-4572
"Alana Sweet",169-11-00,"The B-Hive",159927-7181
"Alana Sweet",169-11-00,"L’avant comptoir du marché",508969-5034
"Alden Dudley",228-85-00,"Pivbar Kolomenskoye",365700-4523
"Alden Dudley",228-85-00,Cabana,012286-7948
"Alden Dudley",228-85-00,"NEW VILLAGE RESTAURANT",034706-7472
"Alden Dudley",228-85-00,"HUNAN NIGHT",619242-8172
"Alden Greer",823-62-08,"Le Mary Céleste",498082-1021
"Alden Greer",823-62-08,"AJI-NIPPON RESTAURANT",102739-1075
"Alden Hendricks",800-27-09,"FOUR U",436611-7341
"Alden Luna",607-26-00,"La Fontaine de Belleville",035952-6936
"Alden Luna",607-26-00,CANOPY,993738-4536
"Alden Raymond",501-05-02,"The Camel Pub",987575-5317
"Alden Raymond",501-05-02,"The Duke Of Argyll",452548-3394
"Alden Raymond",501-05-02,"CAVA RESTAURANT",727659-2461
"Alden William",439-96-04,"Genatzvale Hall",825794-2857
"Alea Case",126-58-00,"Guns & Bears Pub",066604-4524
"Alea Case",126-58-00,"The Lounge",557061-3801
"Alea Case",126-58-00,"TEX'S PLACE",137395-0748
"Alea Case",126-58-00,"BENIHANA OF TOKYO",746233-3159
"Alea Jordan",735-62-06,"TWINBROOK BAR",792185-8796
"Alea Jordan",735-62-06,"Les Trois 8",066016-1696
"Alea Larson",116-84-08,Porosello,775033-0743
"Alea Rojas",727-27-07,"A.P. Stump's",MA12347
"Alea Rojas",727-27-07,"The Ship and Whale",986328-7539
"Alea Yang",230-30-05,"Il Fornaio",698268-4422
"Alea Yang",230-30-05,"SALA THAI ",339365-4516
"Alec Fernandez",742-36-07,"The Lounge",557061-3801
"Alec Fernandez",742-36-07,"EL PATIO",266006-4748
"Alec Fernandez",742-36-07,"TEX'S PLACE",137395-0748
"Alec Fernandez",742-36-07,"AMALFI RISTORANTE",128083-8887
"Alexa Graves",775-61-05,"FOREST GLEN PUB",724454-6920
"Alexa Graves",775-61-05,"HOWARD BAR & GRILL",564383-9375
"Alexa Graves",775-61-05,"SANTO POLLO ",348034-4278
"Alexa Stein",673-90-06,"PINEY BRANCH PUB",574707-0877
"Alexa Stein",673-90-06,BECLAWS,269500-5799
"Alexa Stein",673-90-06,"TARA THAI RESTAURANT",033029-0636
"Alexa Vargas",624-54-08,"L’avant comptoir du marché",508969-5034
"Alexander Chapman",244-81-03,"Pivbar Kolomenskoye",365700-4523
"Alexander Chapman",244-81-03,"Mandy's Apothecary Irish Pub",036932-8331
"Alexander Chapman",244-81-03,Cabana,012286-7948
"Alexander Craft",321-87-05,Candelaria,645845-0472
"Alexander Craft",321-87-05,"Le Tr?s Particulier",432512-8710
"Alexander Craft",321-87-05,"CHEESESTEAK MIKE'S",214195-2529
"Alexander Meyer",321-66-08,"PASSION FISH",994587-9188
"Alexander Vazquez",514-10-06,EGGSPECTATION,459940-2189
"Alexander Vazquez",514-10-06,"L'Ours Bar",402911-2895
"Alexander Watson",032-45-04,"L'Avant Comptoir de la Mer",972787-2484
"Alexander Watson",032-45-04,"CRISFIELD SEAFOOD RESTAURANT",195256-6840
"Alexander Welch",046-57-06,"CHOICE ",075626-4206
"Alexandra Dillon",409-69-09,"L'Avant Comptoir de la Mer",972787-2484
"Alexandra Dillon",409-69-09,"CRISFIELD SEAFOOD RESTAURANT",195256-6840
"Alexandra Dillon",409-69-09,"LA MADELEINE",027174-2033
"Alexandra Jenkins",260-15-05,"RUSSIAN GOURMET",635427-3838
"Alexis Bennett",716-79-03,"Pivbar Kolomenskoye",365700-4523
"Alfonso Clay",588-59-02,"YEKTA KABOBI",018125-2537
"Alfonso Clay",588-59-02,"TEX'S PLACE",137395-0748
"Alfonso Clay",588-59-02,"BENIHANA OF TOKYO",746233-3159
"Alfonso Clay",588-59-02,"AMALFI RISTORANTE",128083-8887
"Alfonso Cline",696-12-06,"La Commune",273086-1339
"Alfonso Cline",696-12-06,"La Fontaine de Belleville",035952-6936
"Alfonso Cline",696-12-06,CANOPY,993738-4536
"Alfonso Douglas",009-79-06,"AY! JALISCO II",622517-0445
"Alfonso Farrell",806-99-04,BECLAWS,269500-5799
"Alfonso Farrell",806-99-04,"EL SOL SALVADOREAN & MEXICAN R",519829-9801
"Alfonso Holmes",531-20-09,"MAMMA LUCIA",825954-1152
"Alfonso Holmes",531-20-09,"POSITANO RISTORANTE ITALIANO",784026-4704
"Alfonso Holmes",531-20-09,"MIDWAY PUB",589827-6299
"Alfonso Langley",886-59-08,"MOBY DICK SEAFOOD",953947-6565
"Alfonso Langley",886-59-08,"Blind Spot",065747-2833
"Alfonso Langley",886-59-08,"RUANG KHAO THAI CUISINE",473565-3935
"Alfonso Mercado",490-34-02,"ASPEN HILL BAR & GRILL",122581-2526
"Alfonso Mercado",490-34-02,SAMOVAR,569005-3193
"Alfonso Mercado",490-34-02,"Bar Italiya",278532-0199
"Alfonso Mercado",490-34-02,"Purple Bar at Sanderson",016922-4284
"Alfonso Nunez",796-39-01,"The Wigmore",785196-5934
"Alfonso Todd",043-08-07,"TRATTORIA SORRENTO",692127-6439
"Alfonso Todd",043-08-07,"Tavern U Okolitsy",302168-0412
"Alfonso Todd",043-08-07,"Long Bar",395573-9457
"Alfreda Ashley",399-91-09,"ASPEN HILL BAR & GRILL",122581-2526
"Alfreda Ashley",399-91-09,SAMOVAR,569005-3193
"Alfreda Ashley",399-91-09,"Septime La Cave",207005-7456
"Alfreda Ashley",399-91-09,"Bar Italiya",278532-0199
"Alfreda Ashley",399-91-09,"Ninetyeight Bar & Lounge",023694-3510
"Alfreda Hammond",796-07-08,"Castor Club",812147-3998
"Alfreda Hammond",796-07-08,"Winil Wine Bar",348656-7617
"Alfreda Norman",215-59-07,"PASSION FISH",994587-9188
"Alfreda Norman",215-59-07,Candelaria,645845-0472
"Alfreda Norman",215-59-07,"Le Tr?s Particulier",432512-8710
"Alfreda Norman",215-59-07,"CHEESESTEAK MIKE'S",214195-2529
"Alfreda Ramirez",343-34-07,"Podozritelnye Litsa Bar",285412-1965
"Alfreda Ramirez",343-34-07,"SOL AZTECA RESTAURANT",844222-4211
"Alfreda Ramirez",343-34-07,"THE GREENE TURTLE-Ab",806320-3064
"Alfreda Vasquez",037-42-04,"BROOKVILLE EATERY",405616-0742
"Alfreda Vasquez",037-42-04,"MAPLE BEER AND WINE",624171-7682
"Alfreda Vasquez",037-42-04,"PETER'S GRILL",567033-1627
"Ali Blackwell",263-96-03,"SIU'S ASIAN BISTRO",647562-0404
"Ali Blackwell",263-96-03,"ATTMAN'S BAR & GRILL",548813-2340
"Ali Blackwell",263-96-03,"The Ship and Whale",986328-7539
"Ali Harrell",569-36-03,"Bar Neon Monkey",829829-6701
"Ali Joyce",834-12-04,Respublika,457966-5128
"Ali Joyce",834-12-04,"Tavern U Okolitsy",302168-0412
"Ali Kelly",261-51-09,"Little Red Door",837313-9248
"Ali Kelly",261-51-09,"B & B ",567607-2878
"Ali Kelly",261-51-09,Bisou,152664-4651
"Ali Shepherd",385-48-01,"ADDISU GEBEYA",659375-5835
"Ali Shepherd",385-48-01,"Belgian Pub BeerHouse",416665-7371
"Ali Wilkins",027-85-05,EGGSPECTATION,459940-2189
"Ali Wilkins",027-85-05,SILVER,716079-8588
"Alice Castillo",694-11-06,Vermuteria,196332-2001
"Alice Castillo",694-11-06,"Lord John Russell Pub",804154-3375
"Alice Castillo",694-11-06,"OLD TOWN POUR HOUSE",722716-4519
"Alice Downs",199-83-01,"Winil Wine Bar",348656-7617
"Alice Downs",199-83-01,"Ye Olde Mitre",379956-5316
"Alice Downs",199-83-01,"Gecko Grill",446219-2628
"Alice Griffin",231-13-01,EGGSPECTATION,459940-2189
"Alice Griffin",231-13-01,"L'Ours Bar",402911-2895
"Alice Griffin",231-13-01,"Genatzvale Hall",825794-2857
"Alice Griffin",231-13-01,"CHOICE ",075626-4206
"Alice Medina",137-15-03,"Little Red Door",837313-9248
"Alice Medina",137-15-03,Bisou,152664-4651
"Alice Middleton",079-29-07,"COUNTRY BOY CLUB",565494-6333
"Alice Middleton",079-29-07,SAMANTHA'S,065321-9717
"Alice Middleton",079-29-07,"Bar Hemingway",573547-0154
"Alice Middleton",079-29-07,"NEWS EXPRESS",615857-5438
"Alice Newton",413-25-03,"BOCA BOTANA'S",633641-0946
"Alice Newton",413-25-03,"KOREAN KORNER",252115-9828
"Alice Newton",413-25-03,"MRS. K'S TOLL HOUSE",204463-2632
"Alice Newton",413-25-03,"THAI TASTE",393201-0154
